epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.170475,0.829525,0
1,2,2040,0.720614,0.279386,0
2,3,2040,0.799012,0.200988,0
3,4,2040,0.633595,0.366405,0
4,5,2040,0.763271,0.236729,0
5,6,2040,0.695537,0.304463,0
6,7,2040,0.659729,0.340271,0
7,8,2040,0.693457,0.306543,0
8,9,2040,0.760216,0.239784,0
9,10,2040,0.709692,0.290308,0
10,11,2040,0.718393,0.281607,0
11,12,2040,0.798957,0.201043,0
12,13,2040,0.719891,0.280109,0
13,14,2040,0.715239,0.284761,0
14,15,2040,0.763273,0.236727,0
15,16,2040,0.746915,0.253085,0
16,17,2040,0.79529,0.20471,0
17,18,2040,0.718639,0.281361,0
18,19,2040,0.739574,0.260426,0
19,20,2040,0.792168,0.207832,0
20,22,2040,0.79037,0.20963,0
22,24,2040,0.79292,0.20708,0
24,26,2040,0.732487,0.267513,0
26,28,2040,0.784282,0.215718,0
28,30,2040,0.780521,0.219479,0
30,35,2040,0.76718,0.23282,0
35,40,2040,0.717874,0.282126,0
40,45,2040,0.709389,0.290611,0
45,50,2040,0.776304,0.223696,0
50,60,2040,0.835775,0.164225,0
60,70,2040,0.719002,0.280998,0
70,80,2040,0.710147,0.289853,0
80,90,2040,0.857975,0.142025,0
90,100,2040,0.825221,0.174779,0
100,110,2040,0.771385,0.228615,0
110,120,2040,0.797095,0.202905,0
120,130,2040,0.835731,0.164269,0
130,140,2040,0.830316,0.169684,0
140,150,2040,0.850707,0.149293,0
150,160,2040,0.858671,0.141329,0
160,170,2040,0.890918,0.109082,0
170,180,2040,0.933975,0.066025,0
180,190,2040,0.984628,0.015372,1
190,200,2040,0.998503,0.001497,1
