epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
0,0.2,,,0.1,,0.068451,0.093854,0,38.57398884,1.586295,1.97024619,1.41764685,0.94914,0.4409,0.3901,0.4182,0.3853,,,0.08431556,0.83669059,1647.19186958,0.0,1647191869580539.5,500,50,1,0.5074000000000001,0.4645453587609314,0.5585,0.4110209672321146,0.5301,0.44062796333368454,0.5625,0.4059635444104941,,
1,0.2,2.135458279724121,0.23606,0.3258,0.829525,0.315626,0.429568,0,216.59647174,2.335651,2.19566621,1.08672073,0.50712,0.418,0.3944,0.388,0.4219,,0.1508305,0.10954183,0.85052216,2.95213432,0.0,2952134320022.5347,500,50,1,0.5303,0.44041723738278366,0.5542,0.41555157517648295,0.5603,0.40880834474765565,0.5259,0.44452639342535033,,
2,0.199987663248166,1.6837605939483642,0.36998,0.3916,0.279386,0.374405,0.490612,0,19.33407889,1.286323,1.88744315,0.88156052,0.44272,0.5161,0.4709,0.4835,0.5104,,0.08810686,0.09519122,0.85566485,5.22232944,0.0,5222329436470.592,500,50,1,0.43220000000000003,0.5437783162996522,0.4777,0.4961542513960594,0.46480000000000005,0.5094299863028131,0.4374,0.537772626698978,,
3,0.1999506560365731,1.4550153420257568,0.46452,0.4618,0.200988,0.399715,0.503836,0,9.09978312,0.959031,1.66593555,0.7253241,0.34144,0.6102,0.5636,0.582,0.5814,,0.08267044,0.15291418,0.83051652,8.0260701,0.0,8026070100743.368,500,50,1,0.33810000000000007,0.6429248761985038,0.385,0.5938257296386049,0.36630000000000007,0.6132125171214834,0.36639999999999995,0.612580339268781,,
4,0.199888987496197,1.2297978268814087,0.55708,0.5341,0.366405,0.461705,0.569901,0,3.03612976,0.48232,1.20056068,0.64579187,0.35094,0.6906,0.6547,0.6701,0.6657,,0.1825327,0.16474389,0.79660144,10.45621349,0.0,10456213485546.07,500,50,1,0.25770000000000004,0.7276367084606469,0.29390000000000005,0.6898114002739436,0.2782,0.7060372984933094,0.2821,0.7014013275734906,,
5,0.1998026728428271,1.017440918292999,0.63822,0.5817,0.236729,0.547008,0.649136,0,2.09653302,0.321502,0.98510106,0.58011447,0.30296,0.7353,0.6959,0.7148,0.7084,,0.10972664,0.109702,0.87710649,9.37964933,0.0,9379649326519.707,500,50,1,0.21300000000000008,0.7747339584869876,0.25270000000000004,0.7332209461595195,0.23350000000000004,0.7531345485196501,0.23939999999999995,0.7463913180908228,,
6,0.1996917333733128,0.8746665598869324,0.69098,0.6066,0.304463,0.522965,0.621123,0,1.6720468,0.223248,0.95466861,0.57460842,0.25448,0.7632,0.7238,0.7397,0.7297,,0.11869495,0.15356925,0.85233753,11.56650769,0.0,11566507690775.729,500,50,1,0.18510000000000004,0.8041302286376567,0.2248,0.7626172163101885,0.2086,0.7793699294068064,0.21809999999999996,0.7688336318617638,,
7,0.199556196460308,0.7733142707443237,0.73114,0.6129,0.340271,0.584196,0.690041,0,1.15971143,0.06435,1.05530691,0.61842514,0.31298,0.7953,0.7646,0.7746,0.7737,,0.12891388,0.20915478,0.87024616,16.59781201,0.0,16597812013119.98,500,50,1,0.15300000000000002,0.8379517437572437,0.18400000000000005,0.8056053102939627,0.17370000000000008,0.8161416078390052,0.17409999999999992,0.8151933410599516,,
8,0.199396095545518,0.7105406807136536,0.75486,0.7082,0.306543,0.602949,0.711193,0,1.0187387,0.008063,0.88820848,0.49850561,0.15698,0.8128,0.7705,0.7909,0.7852,,0.13624068,0.15308685,0.88469886,13.46779477,0.0,13467794772201.363,500,50,1,0.13550000000000006,0.8563902644610683,0.17810000000000004,0.8118217258455378,0.15739999999999998,0.833315772837425,0.16259999999999997,0.8273100832367506,,
9,0.1992114701314478,0.6780809645843506,0.76602,0.7108,0.239784,0.625819,0.720019,0,0.96239768,-0.016645,0.90282741,0.52885535,0.19208,0.815,0.7801,0.7957,0.7902,,0.07289355,0.16320723,0.89374816,16.62146499,0.0,16621464994285.52,500,50,1,0.13330000000000009,0.8587082499209777,0.16849999999999998,0.8219365714887789,0.15260000000000007,0.8383731956590453,0.15759999999999996,0.832578232009272,,
