epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4421,0.3893,0.4029,0.3745,nan
1,0.5248,0.4861,0.4731,0.4905,nan
2,0.6271,0.5826,0.6015,0.6024,nan
3,0.7024,0.6607,0.6815,0.6778,nan
4,0.7609,0.7238,0.7422,0.7458,nan
5,0.8055,0.7687,0.793,0.7921,nan
6,0.8269,0.7927,0.8181,0.8199,nan
7,0.8368,0.8021,0.8269,0.8231,nan
8,0.849,0.8202,0.8399,0.838,nan
9,0.8504,0.8194,0.8353,0.8335,nan
10,0.8537,0.8264,0.8421,0.842,nan
11,0.8578,0.8318,0.8427,0.8434,nan
12,0.8593,0.8317,0.8424,0.8443,nan
13,0.8673,0.8409,0.8588,0.8574,nan
14,0.871,0.8459,0.8548,0.8569,nan
15,0.8648,0.8342,0.8472,0.848,nan
16,0.8755,0.8495,0.8597,0.8601,nan
17,0.8762,0.8555,0.864,0.8636,nan
18,0.8854,0.8629,0.8737,0.8762,nan
19,0.8748,0.8535,0.8578,0.8599,nan
20,0.8811,0.8584,0.8647,0.8657,nan
22,0.8842,0.8606,0.867,0.868,nan
24,0.8821,0.8636,0.8691,0.8712,nan
26,0.8908,0.873,0.8786,0.8807,nan
28,0.8903,0.8664,0.8758,0.874,nan
30,0.8945,0.8791,0.8811,0.8838,nan
35,0.8901,0.8701,0.8729,0.8718,nan
40,0.8932,0.8767,0.8732,0.8742,nan
45,0.9007,0.8822,0.8838,0.8863,nan
50,0.9049,0.8875,0.8962,0.8961,nan
60,0.9049,0.8894,0.8943,0.8953,nan
70,0.906,0.891,0.8897,0.892,nan
80,0.9123,0.9009,0.9011,0.903,nan
90,0.9149,0.9031,0.9014,0.9014,nan
100,0.9175,0.909,0.9088,0.9101,nan
110,0.9258,0.9191,0.918,0.9189,nan
120,0.9288,0.9211,0.9249,0.9247,nan
130,0.9256,0.9199,0.919,0.9195,nan
140,0.9327,0.9286,0.9296,0.9299,nan
150,0.9359,0.9341,0.9348,0.9343,nan
160,0.941,0.9393,0.9403,0.9404,nan
170,0.9519,0.9526,0.9524,0.9512,nan
180,0.9549,0.9548,0.9551,0.9548,nan
190,0.9575,0.9572,0.9576,0.9564,nan
200,0.9574,0.9568,0.9585,0.9565,nan
