epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4421,0.3893,0.4029,0.3745,nan
1,0.6488,0.6108,0.6335,0.6276,nan
2,0.7516,0.7047,0.7322,0.7282,nan
3,0.7973,0.7564,0.7886,0.7863,nan
4,0.82,0.781,0.8072,0.8084,nan
5,0.839,0.806,0.8326,0.8316,nan
6,0.8426,0.8122,0.8385,0.8396,nan
7,0.8579,0.8344,0.8541,0.8519,nan
8,0.8702,0.8414,0.8621,0.8638,nan
9,0.8737,0.8453,0.868,0.8673,nan
10,0.8818,0.8556,0.8739,0.8721,nan
11,0.8778,0.8538,0.8687,0.867,nan
12,0.8898,0.8654,0.8858,0.8866,nan
13,0.8869,0.8624,0.8779,0.8789,nan
14,0.8938,0.8727,0.8837,0.8815,nan
15,0.8904,0.8679,0.879,0.8785,nan
16,0.893,0.8678,0.8823,0.8841,nan
17,0.8983,0.8774,0.8894,0.8929,nan
18,0.8945,0.8794,0.8852,0.8852,nan
19,0.8968,0.8826,0.8877,0.889,nan
20,0.8996,0.8787,0.8831,0.8827,nan
22,0.9028,0.882,0.8877,0.891,nan
24,0.905,0.8852,0.8912,0.8917,nan
26,0.903,0.889,0.8951,0.8951,nan
28,0.9082,0.8963,0.8985,0.8985,nan
30,0.9132,0.8985,0.9011,0.8985,nan
35,0.9111,0.8984,0.9013,0.9021,nan
40,0.9122,0.8984,0.9015,0.9027,nan
45,0.9117,0.9023,0.9021,0.903,nan
50,0.9157,0.9057,0.9084,0.908,nan
60,0.9144,0.9046,0.9079,0.9083,nan
70,0.9167,0.9086,0.9067,0.9068,nan
80,0.9239,0.9146,0.9118,0.9127,nan
90,0.9204,0.9144,0.9136,0.9143,nan
100,0.929,0.9247,0.924,0.925,nan
110,0.926,0.9201,0.9205,0.9228,nan
120,0.9314,0.9261,0.9276,0.9263,nan
130,0.9276,0.9245,0.9288,0.9287,nan
140,0.9359,0.9345,0.9351,0.9355,nan
150,0.9368,0.9358,0.9373,0.9376,nan
160,0.9475,0.9472,0.9469,0.9488,nan
170,0.9506,0.9507,0.9517,0.9511,nan
180,0.9527,0.9519,0.9523,0.9514,nan
190,0.9524,0.9514,0.9536,0.9507,nan
200,0.9523,0.9512,0.9535,0.9516,nan
