run_name,lr,seed,epoch,threshold_mode,threshold_value,k_main,d_total,k_fraction,singular_sum_total,singular_energy_total,main_singular_mass,main_energy_mass,residual_singular_mass,residual_energy_mass,effective_rank_singular,effective_rank_energy
final_lr005_seed0,0.05,0,0,singular_mass,0.8,251,512,0.490234375,14845.0458984375,5544381.0,0.8008026480674744,0.9934432506561279,0.19919735193252563,0.00655674934387207,220.94397540577813,2.876364406237611
final_lr005_seed0,0.05,0,1,singular_mass,0.8,240,512,0.46875,10309.30859375,1574007.25,0.8000136613845825,0.9897778630256653,0.19998633861541748,0.010222136974334717,212.918905811014,13.115710884952474
final_lr005_seed0,0.05,0,2,singular_mass,0.8,243,512,0.474609375,9959.10546875,1374752.0,0.8001766204833984,0.9890197515487671,0.19982337951660156,0.01098024845123291,216.82638948253017,15.16800044619924
final_lr005_seed0,0.05,0,3,singular_mass,0.8,239,512,0.466796875,10606.4248046875,1587993.875,0.8008530139923096,0.9894495010375977,0.19914698600769043,0.010550498962402344,212.54439549828203,15.166347871997692
final_lr005_seed0,0.05,0,4,singular_mass,0.8,222,512,0.43359375,11684.03515625,2402813.25,0.8002762794494629,0.9919480085372925,0.1997237205505371,0.00805199146270752,188.71000786456526,11.355947562731908
final_lr005_seed0,0.05,0,5,singular_mass,0.8,228,512,0.4453125,10647.79296875,1844727.5,0.8001113533973694,0.9911226630210876,0.19988864660263062,0.008877336978912354,194.82651745590425,13.35648658550921
final_lr005_seed0,0.05,0,6,singular_mass,0.8,222,512,0.43359375,11344.6552734375,2060881.875,0.8007442951202393,0.9911826848983765,0.19925570487976074,0.008817315101623535,194.7465465230929,13.564213821305039
final_lr005_seed0,0.05,0,7,singular_mass,0.8,213,512,0.416015625,11270.5400390625,2261820.25,0.8001928329467773,0.9922561049461365,0.19980716705322266,0.007743895053863525,179.46060469056172,13.013258884664065
final_lr005_seed0,0.05,0,8,singular_mass,0.8,211,512,0.412109375,11113.818359375,2139248.5,0.8005692958831787,0.9921333193778992,0.1994307041168213,0.00786668062210083,181.20842777781664,13.437578184909668
final_lr005_seed0,0.05,0,9,singular_mass,0.8,204,512,0.3984375,10766.4853515625,2112156.0,0.800016462802887,0.992622435092926,0.19998353719711304,0.007377564907073975,175.07593319449626,12.67205162004257
final_lr005_seed0,0.05,0,10,singular_mass,0.8,199,512,0.388671875,9743.4208984375,1718784.625,0.8000476956367493,0.9926822781562805,0.19995230436325073,0.007317721843719482,171.29599751490588,13.729563398872056
final_lr005_seed0,0.05,0,11,singular_mass,0.8,197,512,0.384765625,9467.7275390625,1581187.25,0.8003326058387756,0.9925440549850464,0.19966739416122437,0.007455945014953613,172.70247566823102,14.28014996494159
final_lr005_seed0,0.05,0,12,singular_mass,0.8,191,512,0.373046875,8605.9765625,1427099.25,0.8003537058830261,0.9932893514633179,0.19964629411697388,0.006710648536682129,165.1311485473588,12.32282692671953
final_lr005_seed0,0.05,0,13,singular_mass,0.8,178,512,0.34765625,8621.619140625,1627006.0,0.8005590438842773,0.9942833781242371,0.19944095611572266,0.0057166218757629395,149.64095514611333,11.346502426436254
final_lr005_seed0,0.05,0,14,singular_mass,0.8,177,512,0.345703125,8734.3466796875,1572216.0,0.8001706600189209,0.9939159154891968,0.1998293399810791,0.006084084510803223,152.414051082644,12.756062892172901
final_lr005_seed0,0.05,0,15,singular_mass,0.8,178,512,0.34765625,8669.3359375,1456026.125,0.8005056381225586,0.9935315251350403,0.1994943618774414,0.006468474864959717,156.82686131460972,13.98346162096673
final_lr005_seed0,0.05,0,16,singular_mass,0.8,170,512,0.33203125,7939.15234375,1299868.875,0.8005364537239075,0.994025468826294,0.19946354627609253,0.005974531173706055,149.54030799550907,13.144015981384314
final_lr005_seed0,0.05,0,17,singular_mass,0.8,164,512,0.3203125,7720.10107421875,1296425.25,0.8008807897567749,0.994426429271698,0.1991192102432251,0.005573570728302002,143.3479384213,12.638026716094474
final_lr005_seed0,0.05,0,18,singular_mass,0.8,159,512,0.310546875,7525.8232421875,1249953.875,0.800239086151123,0.994530200958252,0.19976091384887695,0.005469799041748047,141.17083068941074,12.447869244854
final_lr005_seed0,0.05,0,19,singular_mass,0.8,156,512,0.3046875,7342.41845703125,1181203.125,0.8007212281227112,0.9945346117019653,0.19927877187728882,0.005465388298034668,139.63522803310832,13.003269237637573
final_lr005_seed0,0.05,0,20,singular_mass,0.8,150,512,0.29296875,6899.8701171875,1069436.5,0.8006256222724915,0.9947161674499512,0.19937437772750854,0.005283832550048828,135.5069980229674,12.971815296800987
final_lr005_seed0,0.05,0,22,singular_mass,0.8,141,512,0.275390625,7032.677734375,1199137.25,0.8001345992088318,0.9951459765434265,0.1998654007911682,0.004854023456573486,127.56257943617761,12.1086299680797
final_lr005_seed0,0.05,0,24,singular_mass,0.8,132,512,0.2578125,6825.58349609375,1241702.25,0.8007916212081909,0.9956691265106201,0.19920837879180908,0.004330873489379883,117.58706198743876,11.385901823147378
final_lr005_seed0,0.05,0,26,singular_mass,0.8,129,512,0.251953125,6564.5947265625,1119730.25,0.800938069820404,0.9955753684043884,0.19906193017959595,0.004424631595611572,117.16728894393643,12.235929319781091
final_lr005_seed0,0.05,0,28,singular_mass,0.8,123,512,0.240234375,6604.90673828125,1187492.25,0.8007814884185791,0.9957786798477173,0.1992185115814209,0.004221320152282715,113.06732918068397,11.56673412279178
final_lr005_seed0,0.05,0,30,singular_mass,0.8,115,512,0.224609375,6686.96826171875,1270343.375,0.8001613020896912,0.9959582686424255,0.19983869791030884,0.004041731357574463,107.7896863681531,11.413189159039323
