epoch_prev,epoch_curr,n_samples,cka_value,cka_change,below_tau
5,10,2040,0.843509,0.156491,0
10,15,2040,0.839207,0.160793,0
15,20,2040,0.84513,0.15487,0
20,25,2040,0.80808,0.19192,0
25,30,2040,0.826751,0.173249,0
30,35,2040,0.843164,0.156836,0
35,40,2040,0.828768,0.171232,0
40,45,2040,0.839333,0.160667,0
45,50,2040,0.814311,0.185689,0
50,55,2040,0.785242,0.214758,0
55,60,2040,0.771812,0.228188,0
60,65,2040,0.813654,0.186346,0
65,70,2040,0.827266,0.172734,0
70,75,2040,0.827571,0.172429,0
75,80,2040,0.830615,0.169385,0
80,85,2040,0.806845,0.193155,0
85,90,2040,0.773358,0.226642,0
90,95,2040,0.779194,0.220806,0
95,100,2040,0.845502,0.154498,0
100,105,2040,0.84059,0.15941,0
105,110,2040,0.811996,0.188004,0
110,115,2040,0.81218,0.18782,0
115,120,2040,0.798048,0.201952,0
120,125,2040,0.82057,0.17943,0
125,130,2040,0.807154,0.192846,0
130,135,2040,0.796693,0.203307,0
135,140,2040,0.842764,0.157236,0
140,145,2040,0.817281,0.182719,0
145,150,2040,0.834172,0.165828,0
150,155,2040,0.825643,0.174357,0
155,160,2040,0.807347,0.192653,0
160,165,2040,0.819516,0.180484,0
165,170,2040,0.828804,0.171196,0
170,175,2040,0.82345,0.17655,0
175,180,2040,0.82439,0.17561,0
180,185,2040,0.840381,0.159619,0
185,190,2040,0.865558,0.134442,0
190,195,2040,0.860637,0.139363,0
195,200,2040,0.862897,0.137103,0
200,205,2040,0.858347,0.141653,0
205,210,2040,0.877079,0.122921,0
210,215,2040,0.87145,0.12855,0
215,220,2040,0.871998,0.128002,0
220,225,2040,0.886191,0.113809,0
225,230,2040,0.899621,0.100379,0
230,235,2040,0.895093,0.104907,0
235,240,2040,0.910154,0.089846,0
240,245,2040,0.928121,0.071879,0
245,250,2040,0.941828,0.058172,0
250,255,2040,0.961685,0.038315,0
255,260,2040,0.975775,0.024225,0
260,265,2040,0.989491,0.010509,1
265,270,2040,0.994767,0.005233,1
270,275,2040,0.99737,0.00263,1
275,280,2040,0.998459,0.001541,1
280,285,2040,0.998909,0.001091,1
285,290,2040,0.99952,0.00048,1
290,295,2040,0.999743,0.000257,1
295,300,2040,0.999538,0.000462,1
