epoch_prev,epoch_curr,cka_value,cka_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.843509,0.156491,0,0,0
10,15,0.839207,0.160793,0,0,0
15,20,0.84513,0.15487,0,0,0
20,25,0.80808,0.19192,0,0,0
25,30,0.826751,0.173249,0,0,0
30,35,0.843164,0.156836,0,0,0
35,40,0.828768,0.171232,0,0,0
40,45,0.839333,0.160667,0,0,0
45,50,0.814311,0.185689,0,0,0
50,55,0.785242,0.214758,0,0,0
55,60,0.771812,0.228188,0,0,0
60,65,0.813654,0.186346,0,0,0
65,70,0.827266,0.172734,0,0,0
70,75,0.827571,0.172429,0,0,0
75,80,0.830615,0.169385,0,0,0
80,85,0.806845,0.193155,0,0,0
85,90,0.773358,0.226642,0,0,0
90,95,0.779194,0.220806,0,0,0
95,100,0.845502,0.154498,0,0,0
100,105,0.84059,0.15941,0,0,0
105,110,0.811996,0.188004,0,0,0
110,115,0.81218,0.18782,0,0,0
115,120,0.798048,0.201952,0,0,0
120,125,0.82057,0.17943,0,0,0
125,130,0.807154,0.192846,0,0,0
130,135,0.796693,0.203307,0,0,0
135,140,0.842764,0.157236,0,0,0
140,145,0.817281,0.182719,0,0,0
145,150,0.834172,0.165828,0,0,0
150,155,0.825643,0.174357,0,0,0
155,160,0.807347,0.192653,0,0,0
160,165,0.819516,0.180484,0,0,0
165,170,0.828804,0.171196,0,0,0
170,175,0.82345,0.17655,0,0,0
175,180,0.82439,0.17561,0,0,0
180,185,0.840381,0.159619,0,0,0
185,190,0.865558,0.134442,0,0,0
190,195,0.860637,0.139363,0,0,0
195,200,0.862897,0.137103,0,0,0
200,205,0.858347,0.141653,0,0,0
205,210,0.877079,0.122921,0,0,0
210,215,0.87145,0.12855,0,0,0
215,220,0.871998,0.128002,0,0,0
220,225,0.886191,0.113809,0,0,0
225,230,0.899621,0.100379,0,0,0
230,235,0.895093,0.104907,0,0,0
235,240,0.910154,0.089846,0,0,0
240,245,0.928121,0.071879,0,0,0
245,250,0.941828,0.058172,0,0,0
250,255,0.961685,0.038315,0,0,0
255,260,0.975775,0.024225,0,0,0
260,265,0.989491,0.010509,1,1,0
265,270,0.994767,0.005233,1,2,0
270,275,0.99737,0.00263,1,3,0
275,280,0.998459,0.001541,1,4,0
280,285,0.998909,0.001091,1,5,1
285,290,0.99952,0.00048,1,6,0
290,295,0.999743,0.000257,1,7,0
295,300,0.999538,0.000462,1,8,0
