epoch_prev,epoch_curr,drs_value,drs_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.670839,0.329161,0,0,0
15,20,0.829304,0.170696,0,0,0
25,30,0.732091,0.267909,0,0,0
35,40,0.860071,0.139929,0,0,0
45,50,0.817065,0.182935,0,0,0
55,60,0.830137,0.169863,0,0,0
65,70,0.866493,0.133507,0,0,0
75,80,0.866927,0.133073,0,0,0
85,90,0.817786,0.182214,0,0,0
95,100,0.829874,0.170126,0,0,0
105,110,0.823828,0.176172,0,0,0
115,120,0.788368,0.211632,0,0,0
125,130,0.84004,0.15996,0,0,0
135,140,0.873737,0.126263,0,0,0
145,150,0.82141,0.17859,0,0,0
155,160,0.838953,0.161047,0,0,0
165,170,0.791387,0.208613,0,0,0
175,180,0.870382,0.129618,0,0,0
185,190,0.857359,0.142641,0,0,0
195,200,0.855874,0.144126,0,0,0
205,210,0.904358,0.095642,0,0,0
215,220,0.872696,0.127304,0,0,0
225,230,0.838134,0.161866,0,0,0
235,240,0.849882,0.150118,0,0,0
245,250,0.876935,0.123065,0,0,0
255,260,0.880559,0.119441,0,0,0
265,270,0.902342,0.097658,0,0,0
275,280,0.903472,0.096528,0,0,0
285,290,0.898001,0.101999,0,0,0
295,300,0.857035,0.142965,0,0,0
