epoch_a,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24,26,28,30,35,40,45,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
0,1.000000,0.169442,0.169668,0.179306,0.135971,0.104564,0.098725,0.080602,0.095109,0.087763,0.091016,0.083444,0.101758,0.078251,0.074190,0.098970,0.088994,0.084022,0.086935,0.086382,0.082762,0.080728,0.080452,0.080496,0.089312,0.071454,0.083073,0.086628,0.076203,0.086717,0.077504,0.081874,0.083427,0.079473,0.070931,0.080011,0.072041,0.076015,0.072393,0.071172,0.064596,0.066610,0.059998,0.060195,0.059574
1,0.188111,0.671627,0.690414,0.629284,0.559400,0.539802,0.492170,0.470921,0.471167,0.468235,0.440978,0.451466,0.477601,0.444929,0.438392,0.443264,0.458473,0.460766,0.464780,0.428132,0.440862,0.443920,0.455934,0.464355,0.441916,0.401441,0.435628,0.432408,0.439958,0.435726,0.432792,0.408141,0.432286,0.445547,0.412899,0.448464,0.413737,0.413311,0.390790,0.386083,0.365360,0.349421,0.330022,0.333874,0.334605
2,0.142134,0.579261,0.730206,0.749786,0.706611,0.751197,0.671579,0.670979,0.663020,0.672657,0.607647,0.640673,0.662371,0.653712,0.625665,0.637033,0.646033,0.613900,0.630262,0.631101,0.634724,0.602264,0.615644,0.618738,0.609914,0.605188,0.615684,0.605036,0.614466,0.610366,0.629338,0.581070,0.617247,0.624066,0.584272,0.624801,0.599531,0.583727,0.557493,0.539568,0.505970,0.487213,0.468874,0.477821,0.479080
3,0.125774,0.517637,0.681694,0.778094,0.721231,0.770847,0.751090,0.730659,0.732877,0.735099,0.702830,0.707271,0.694445,0.708992,0.682635,0.697691,0.697193,0.673536,0.694693,0.703254,0.687045,0.678996,0.694115,0.697655,0.667628,0.674466,0.669209,0.681560,0.679118,0.700470,0.699267,0.633163,0.683312,0.676308,0.634579,0.665358,0.676487,0.646696,0.616297,0.592903,0.554555,0.536250,0.521258,0.530933,0.533330
4,0.114633,0.498660,0.621560,0.677715,0.786482,0.776732,0.749041,0.760877,0.780204,0.750250,0.691112,0.739453,0.768368,0.722567,0.738644,0.739787,0.726867,0.732144,0.745393,0.726850,0.728500,0.720845,0.716548,0.741857,0.734189,0.686768,0.734180,0.706128,0.720262,0.719839,0.727653,0.707008,0.724220,0.735473,0.706736,0.720326,0.698059,0.695431,0.672674,0.655165,0.621646,0.592107,0.578835,0.589113,0.591479
5,0.096769,0.451081,0.585042,0.660517,0.714277,0.828223,0.757419,0.780643,0.798146,0.772525,0.720556,0.759618,0.781777,0.783012,0.754069,0.763875,0.754922,0.741509,0.760409,0.768031,0.762767,0.740001,0.726911,0.744800,0.739442,0.730360,0.749347,0.732548,0.721861,0.756138,0.755912,0.705198,0.745138,0.760459,0.741593,0.746694,0.734275,0.718215,0.703557,0.676729,0.653072,0.626103,0.612128,0.622196,0.624725
6,0.099687,0.464352,0.598212,0.660329,0.716283,0.771162,0.848480,0.800399,0.816298,0.786713,0.756543,0.774230,0.801499,0.779305,0.763411,0.774803,0.796736,0.780513,0.793071,0.779612,0.792160,0.759119,0.781113,0.788300,0.773982,0.737990,0.771985,0.763860,0.753348,0.780407,0.779559,0.739771,0.781425,0.779562,0.760602,0.761976,0.778211,0.757192,0.731449,0.704770,0.682522,0.652918,0.640668,0.651340,0.654045
7,0.094823,0.445897,0.576164,0.658025,0.692917,0.769768,0.776766,0.857311,0.796042,0.790582,0.763770,0.774968,0.791799,0.810288,0.768122,0.777314,0.788280,0.776241,0.785840,0.788595,0.790472,0.773030,0.764383,0.792807,0.778334,0.763676,0.769484,0.768226,0.759165,0.805110,0.790825,0.738858,0.793827,0.781654,0.757892,0.762539,0.786881,0.764304,0.742474,0.712151,0.687583,0.660353,0.648283,0.660637,0.663898
8,0.088238,0.441403,0.546792,0.622426,0.712981,0.749898,0.762312,0.772170,0.840564,0.753977,0.731950,0.769837,0.783813,0.769119,0.772307,0.776505,0.775322,0.776158,0.786966,0.767510,0.789739,0.781302,0.776413,0.787683,0.776112,0.729862,0.758649,0.739146,0.764175,0.798523,0.773474,0.752832,0.782756,0.776183,0.766170,0.754190,0.758956,0.750360,0.731531,0.719612,0.685077,0.659891,0.650328,0.662444,0.664206
9,0.088508,0.457479,0.586270,0.633728,0.672500,0.742581,0.734331,0.751370,0.764751,0.840893,0.740924,0.770801,0.773738,0.767556,0.777330,0.744669,0.751115,0.742650,0.760714,0.746704,0.748950,0.761156,0.747131,0.758507,0.749879,0.728388,0.760135,0.735394,0.740692,0.754722,0.784141,0.740150,0.781654,0.772254,0.759981,0.775493,0.768566,0.772016,0.739651,0.733100,0.696060,0.668506,0.658198,0.667863,0.669963
10,0.080694,0.414041,0.529537,0.619306,0.658772,0.724443,0.722078,0.752427,0.758316,0.771309,0.828034,0.751669,0.759903,0.777289,0.749199,0.729033,0.746648,0.755161,0.763626,0.757295,0.754529,0.774810,0.762211,0.779063,0.754596,0.735728,0.743660,0.738085,0.725013,0.784215,0.764991,0.733232,0.758487,0.768472,0.742223,0.741677,0.786488,0.767804,0.735457,0.715138,0.686298,0.667993,0.660214,0.668697,0.673440
11,0.089712,0.422663,0.546122,0.621037,0.684258,0.752408,0.732126,0.756691,0.784209,0.782560,0.737864,0.827236,0.793028,0.772256,0.785299,0.773083,0.762865,0.777074,0.774443,0.787060,0.758542,0.759131,0.776408,0.785746,0.784140,0.773398,0.785254,0.759831,0.760326,0.777930,0.769567,0.757964,0.793435,0.791592,0.789761,0.778207,0.791440,0.786691,0.762797,0.751278,0.719058,0.689383,0.681153,0.692272,0.695596
12,0.086461,0.418313,0.528323,0.603778,0.681400,0.733671,0.736174,0.766534,0.784921,0.763566,0.720618,0.767276,0.836028,0.761694,0.766478,0.768579,0.762330,0.776555,0.774655,0.782183,0.778528,0.758268,0.748694,0.764315,0.778653,0.742591,0.759052,0.739759,0.758953,0.773291,0.779883,0.766321,0.778341,0.778178,0.777208,0.770676,0.776694,0.772890,0.756952,0.741852,0.710988,0.681833,0.675007,0.686924,0.690805
13,0.083601,0.437853,0.552492,0.608784,0.646305,0.738765,0.724104,0.748698,0.768992,0.776490,0.743795,0.773910,0.778659,0.828132,0.779427,0.757594,0.777076,0.753108,0.765618,0.791691,0.778958,0.762533,0.757727,0.783432,0.773329,0.747073,0.769959,0.765222,0.768992,0.769457,0.790234,0.764956,0.802832,0.793279,0.781717,0.784134,0.797668,0.779653,0.769570,0.742127,0.723651,0.694291,0.681040,0.692377,0.694824
14,0.078007,0.430884,0.546792,0.602062,0.649443,0.722635,0.709105,0.754357,0.759372,0.758273,0.726178,0.745139,0.786276,0.768015,0.818951,0.747633,0.775797,0.757227,0.775220,0.763464,0.779967,0.770325,0.781650,0.753964,0.744763,0.725055,0.764516,0.748779,0.748285,0.765078,0.777235,0.747729,0.787999,0.786756,0.766241,0.776877,0.769515,0.778707,0.753907,0.736122,0.712459,0.683872,0.672590,0.685290,0.688175
15,0.092391,0.410611,0.540555,0.608480,0.639143,0.714234,0.712498,0.739774,0.772057,0.764835,0.726214,0.758730,0.762819,0.742892,0.753463,0.820559,0.760205,0.739460,0.770564,0.741493,0.754471,0.737149,0.754019,0.749018,0.753017,0.727871,0.768708,0.716572,0.729538,0.790415,0.781962,0.716931,0.775591,0.758385,0.765186,0.768220,0.767722,0.766711,0.750983,0.729474,0.704403,0.679510,0.668236,0.680348,0.682315
16,0.092304,0.422056,0.521994,0.590459,0.649316,0.704368,0.727198,0.750191,0.777283,0.739731,0.721403,0.761333,0.757018,0.763702,0.766001,0.760782,0.839323,0.782025,0.780248,0.773913,0.769219,0.762958,0.772590,0.791940,0.779381,0.720685,0.784129,0.770282,0.763709,0.791025,0.773776,0.766173,0.798442,0.790597,0.786938,0.788249,0.804588,0.793772,0.783478,0.762609,0.741407,0.714629,0.701986,0.711489,0.714256
17,0.077233,0.401150,0.527387,0.595099,0.632707,0.706008,0.707109,0.756910,0.759728,0.753049,0.732018,0.756978,0.791199,0.765126,0.741672,0.746816,0.747006,0.820519,0.764413,0.769102,0.757540,0.764591,0.744211,0.769202,0.756533,0.722204,0.761539,0.758190,0.749788,0.764516,0.764880,0.746291,0.777829,0.779898,0.783281,0.766525,0.790965,0.767979,0.768319,0.748127,0.729118,0.697704,0.690218,0.701809,0.705200
18,0.073051,0.384940,0.522967,0.593382,0.640456,0.701376,0.731149,0.729836,0.756294,0.751693,0.710557,0.756043,0.737737,0.746113,0.759724,0.720076,0.758524,0.721702,0.812755,0.770275,0.765306,0.771161,0.763676,0.768114,0.765764,0.727017,0.773739,0.750673,0.780185,0.765488,0.762828,0.743679,0.770372,0.776538,0.781447,0.799915,0.793429,0.800189,0.769201,0.750373,0.722583,0.703776,0.691639,0.703968,0.705169
19,0.088885,0.407288,0.513452,0.587921,0.657994,0.733753,0.726662,0.730377,0.762150,0.756575,0.711056,0.767603,0.760498,0.791592,0.769755,0.764743,0.755306,0.740091,0.775804,0.838500,0.773735,0.748381,0.761881,0.769496,0.774966,0.717595,0.756374,0.740368,0.758692,0.758801,0.776648,0.765156,0.791695,0.793588,0.776588,0.784591,0.798192,0.787294,0.782188,0.763179,0.742646,0.714431,0.701614,0.713341,0.714195
20,0.080537,0.407865,0.515649,0.575102,0.658169,0.714845,0.733847,0.757455,0.773263,0.746229,0.729635,0.744634,0.768449,0.791405,0.753500,0.764949,0.776964,0.743527,0.791423,0.771604,0.829038,0.771454,0.762526,0.794985,0.784892,0.734564,0.770751,0.783554,0.766458,0.796455,0.778046,0.772984,0.812110,0.796192,0.778736,0.791298,0.791081,0.798861,0.774038,0.764559,0.739666,0.712311,0.702757,0.713690,0.716241
22,0.084279,0.418087,0.511919,0.590788,0.643077,0.705980,0.692626,0.739001,0.763965,0.734637,0.717323,0.746526,0.762244,0.754144,0.758297,0.750597,0.745928,0.746044,0.785947,0.773117,0.769507,0.825757,0.756858,0.778716,0.770947,0.736802,0.756903,0.738010,0.761577,0.788369,0.773465,0.766487,0.778169,0.798032,0.795838,0.792192,0.791740,0.784158,0.775497,0.755616,0.732833,0.712697,0.702281,0.713024,0.716224
24,0.079234,0.401839,0.521195,0.593517,0.653655,0.710236,0.727082,0.749882,0.769339,0.749111,0.721681,0.743943,0.747718,0.745260,0.752267,0.766684,0.764782,0.754874,0.784510,0.767191,0.770027,0.776316,0.826790,0.780867,0.769729,0.736130,0.754584,0.746634,0.759388,0.789489,0.772378,0.757241,0.793288,0.790324,0.787107,0.779109,0.802691,0.799540,0.782366,0.766938,0.741118,0.718558,0.705547,0.716673,0.720123
26,0.074258,0.395026,0.504140,0.575476,0.643572,0.703873,0.717729,0.722352,0.772549,0.728670,0.707328,0.758056,0.763856,0.747779,0.746943,0.757806,0.747538,0.747961,0.773601,0.769836,0.759590,0.753816,0.771131,0.809061,0.766159,0.730099,0.752887,0.743472,0.766910,0.775181,0.769678,0.773745,0.784009,0.786083,0.792386,0.781871,0.796747,0.781238,0.781358,0.762044,0.734270,0.713188,0.704963,0.716983,0.719199
28,0.074940,0.392662,0.505609,0.565055,0.647979,0.692940,0.716062,0.741554,0.758037,0.756802,0.713597,0.745413,0.753160,0.761875,0.756450,0.762271,0.771735,0.741125,0.786216,0.773126,0.779825,0.754484,0.774914,0.782302,0.806373,0.736961,0.791461,0.759577,0.777207,0.788133,0.781154,0.776497,0.811860,0.808685,0.797675,0.788463,0.800260,0.805976,0.793335,0.779201,0.752461,0.725149,0.718435,0.730147,0.733651
30,0.071530,0.371264,0.498372,0.573464,0.614585,0.702701,0.690733,0.731349,0.758654,0.748901,0.726846,0.765794,0.750412,0.766886,0.750194,0.769326,0.746261,0.761988,0.760123,0.793179,0.748114,0.761667,0.759603,0.751953,0.756967,0.808635,0.769390,0.725189,0.764474,0.780897,0.799462,0.746390,0.791363,0.785983,0.787867,0.782298,0.804852,0.795177,0.791116,0.769158,0.739553,0.716459,0.710325,0.720819,0.723513
35,0.076314,0.401174,0.518725,0.569929,0.645191,0.689885,0.696897,0.714011,0.750819,0.729295,0.700275,0.757375,0.752190,0.743169,0.770227,0.747520,0.754068,0.743613,0.758902,0.757149,0.750529,0.756359,0.762117,0.765649,0.766284,0.743861,0.840071,0.748002,0.781682,0.761891,0.760283,0.760977,0.804543,0.800968,0.798702,0.801867,0.797239,0.802726,0.803546,0.782892,0.758186,0.733649,0.723099,0.734614,0.736514
40,0.075763,0.387002,0.512224,0.584831,0.627708,0.694879,0.723879,0.743969,0.740684,0.737733,0.724582,0.744776,0.762248,0.768935,0.746708,0.728436,0.737869,0.756445,0.759020,0.777005,0.770385,0.763195,0.742546,0.768558,0.759387,0.730602,0.766424,0.816570,0.773658,0.768469,0.759976,0.756849,0.790339,0.794182,0.802508,0.775822,0.803772,0.795311,0.789983,0.772952,0.752714,0.729038,0.719714,0.731333,0.734762
45,0.081001,0.408974,0.528405,0.605066,0.631506,0.696227,0.698296,0.721600,0.756372,0.723865,0.700280,0.754312,0.739806,0.744736,0.734710,0.746190,0.748067,0.752544,0.765296,0.773604,0.746065,0.765514,0.758064,0.778934,0.768935,0.727841,0.765433,0.738322,0.826565,0.762913,0.770837,0.770459,0.791455,0.783462,0.796228,0.810152,0.817737,0.797055,0.808527,0.785398,0.765039,0.739276,0.730707,0.742173,0.744196
50,0.080369,0.404063,0.515134,0.587161,0.615454,0.699020,0.686928,0.731920,0.756424,0.737914,0.701949,0.744514,0.767238,0.732855,0.740046,0.751292,0.745711,0.754616,0.765838,0.754817,0.748588,0.754200,0.750937,0.772246,0.763390,0.733066,0.777432,0.740840,0.763143,0.820655,0.769943,0.762160,0.786532,0.784745,0.796331,0.799991,0.811193,0.809959,0.801840,0.791269,0.766791,0.745327,0.737166,0.747324,0.750595
60,0.081389,0.407360,0.509815,0.566818,0.627265,0.674121,0.700979,0.715395,0.750112,0.733075,0.698014,0.731235,0.746522,0.729902,0.730808,0.745250,0.745220,0.732577,0.770220,0.750376,0.758770,0.742673,0.747082,0.768049,0.760150,0.719718,0.765466,0.740717,0.752026,0.773985,0.817782,0.746179,0.777077,0.791431,0.794447,0.793993,0.809775,0.810967,0.798475,0.787870,0.772322,0.751282,0.743186,0.752829,0.755625
70,0.076768,0.388088,0.489759,0.551872,0.621266,0.672203,0.674091,0.703999,0.730572,0.707692,0.686994,0.739613,0.729413,0.733126,0.736786,0.737386,0.733584,0.739641,0.750596,0.751702,0.737065,0.749569,0.756681,0.758614,0.764605,0.717669,0.772508,0.720039,0.772447,0.750237,0.751948,0.800666,0.787139,0.801754,0.788486,0.796523,0.807626,0.810300,0.816720,0.812947,0.784228,0.764424,0.753229,0.764307,0.766872
80,0.072092,0.358840,0.482823,0.536914,0.599925,0.677241,0.683108,0.713638,0.720409,0.738446,0.701190,0.727657,0.745312,0.747122,0.753127,0.713516,0.727140,0.718921,0.743003,0.741349,0.755849,0.740970,0.731279,0.749096,0.744749,0.706880,0.770100,0.747879,0.756298,0.742895,0.769437,0.765801,0.830943,0.799226,0.791996,0.803566,0.807821,0.819687,0.826437,0.813510,0.794306,0.773374,0.765468,0.778306,0.779664
90,0.075483,0.383849,0.486753,0.543520,0.621091,0.676107,0.685038,0.694056,0.712648,0.731185,0.702823,0.717908,0.728965,0.735412,0.737041,0.706481,0.722808,0.715452,0.740664,0.737425,0.745140,0.746131,0.731746,0.746502,0.747653,0.707962,0.758264,0.740805,0.750914,0.743306,0.755815,0.754102,0.787025,0.829948,0.791132,0.794529,0.816633,0.833985,0.818829,0.822285,0.808774,0.790783,0.784113,0.793098,0.795802
100,0.076102,0.361531,0.479528,0.539595,0.600282,0.656530,0.667915,0.700958,0.725999,0.719725,0.682260,0.726303,0.718001,0.710325,0.729292,0.722117,0.725821,0.736996,0.744790,0.728466,0.730015,0.728928,0.738747,0.756661,0.740612,0.706350,0.764848,0.736990,0.747538,0.759725,0.752497,0.752810,0.784882,0.789215,0.832237,0.788447,0.819577,0.822359,0.840528,0.834487,0.818031,0.805752,0.798254,0.807752,0.810071
110,0.075050,0.370768,0.478301,0.537384,0.597720,0.651367,0.667580,0.686615,0.708038,0.698003,0.678844,0.711249,0.714920,0.714902,0.719725,0.703181,0.735840,0.714966,0.721238,0.719355,0.732679,0.724295,0.733798,0.742680,0.740169,0.694706,0.756115,0.736144,0.743171,0.744503,0.733218,0.755620,0.772779,0.776892,0.784432,0.828386,0.820164,0.834589,0.834874,0.840144,0.833214,0.820205,0.816157,0.823709,0.825505
120,0.076371,0.358637,0.463388,0.527730,0.585030,0.645488,0.649296,0.666770,0.702133,0.686292,0.662532,0.705256,0.701718,0.700986,0.706566,0.700370,0.714629,0.706528,0.709501,0.717557,0.713172,0.708799,0.719020,0.730051,0.733204,0.692616,0.740917,0.720826,0.728127,0.733715,0.727894,0.737655,0.767076,0.769940,0.778248,0.790201,0.848834,0.836003,0.840415,0.845575,0.848922,0.839095,0.834918,0.842513,0.844397
