epoch,nc1_papyan,log10_nc1_papyan,nc2_etf_deviation,nc3_self_duality_frobenius,nc4_ncc_disagreement,nc1,log10_nc1,nc3_weight_mean_alignment,nc4_ncm_disagreement
0,43.26733288,1.63616,2.03561796,1.41560673,0.92824,43.26733288,1.63616,1.41560673,0.92824
1,47.18199689,1.673776,1.96191197,1.04998368,0.54994,47.18199689,1.673776,1.04998368,0.54994
2,8.3203383,0.920141,1.5552586,0.72813677,0.29482,8.3203383,0.920141,0.72813677,0.29482
3,2.89488516,0.461631,1.41565591,0.7047039,0.34452,2.89488516,0.461631,0.7047039,0.34452
4,1.64523125,0.216227,1.10345004,0.63648482,0.309,1.64523125,0.216227,0.63648482,0.309
5,1.19062639,0.075776,1.13679413,0.57908228,0.20826,1.19062639,0.075776,0.57908228,0.20826
6,0.98669631,-0.005816,1.0680924,0.55430959,0.22368,0.98669631,-0.005816,0.55430959,0.22368
7,0.90291207,-0.044355,1.1631338,0.54253017,0.16238,0.90291207,-0.044355,0.54253017,0.16238
8,0.85435476,-0.068362,0.84684494,0.519241,0.17504,0.85435476,-0.068362,0.519241,0.17504
9,0.8031944,-0.095179,0.96878974,0.55046027,0.22438,0.8031944,-0.095179,0.55046027,0.22438
10,0.9802725,-0.008653,0.9639249,0.56198105,0.27908,0.9802725,-0.008653,0.56198105,0.27908
11,0.78144308,-0.107103,0.80850032,0.49578788,0.15042,0.78144308,-0.107103,0.49578788,0.15042
12,0.88731628,-0.051922,0.98438522,0.53563789,0.23522,0.88731628,-0.051922,0.53563789,0.23522
13,0.7072364,-0.150435,1.04863252,0.54684751,0.16214,0.7072364,-0.150435,0.54684751,0.16214
14,0.83151328,-0.080131,0.86000753,0.49807231,0.23416,0.83151328,-0.080131,0.49807231,0.23416
15,0.75443779,-0.122377,0.82253451,0.53056422,0.1976,0.75443779,-0.122377,0.53056422,0.1976
16,0.91750803,-0.03739,0.99542329,0.55844118,0.27712,0.91750803,-0.03739,0.55844118,0.27712
17,0.74314689,-0.128925,0.84570532,0.53607454,0.11958,0.74314689,-0.128925,0.53607454,0.11958
18,0.62296233,-0.205538,0.80498507,0.42587753,0.14124,0.62296233,-0.205538,0.42587753,0.14124
19,0.76269794,-0.117647,0.79651576,0.4930794,0.17132,0.76269794,-0.117647,0.4930794,0.17132
20,0.73581584,-0.133231,1.04585523,0.51803245,0.1602,0.73581584,-0.133231,0.51803245,0.1602
22,0.83938687,-0.076038,0.86770716,0.49055777,0.21502,0.83938687,-0.076038,0.49055777,0.21502
24,0.74119243,-0.130069,0.71145852,0.4542529,0.11904,0.74119243,-0.130069,0.4542529,0.11904
26,0.61039502,-0.214389,0.88668275,0.45920273,0.1605,0.61039502,-0.214389,0.45920273,0.1605
28,0.63975436,-0.193987,0.84348351,0.47903246,0.1173,0.63975436,-0.193987,0.47903246,0.1173
30,0.88977789,-0.050718,0.91040105,0.53458841,0.21486,0.88977789,-0.050718,0.53458841,0.21486
35,0.61884186,-0.20842,0.67501502,0.44142872,0.11878,0.61884186,-0.20842,0.44142872,0.11878
40,0.67796637,-0.168792,0.94986645,0.49117654,0.22118,0.67796637,-0.168792,0.49117654,0.22118
45,0.62147599,-0.206576,0.81526549,0.43443255,0.112,0.62147599,-0.206576,0.43443255,0.112
50,0.65000987,-0.18708,0.99418333,0.49895768,0.16428,0.65000987,-0.18708,0.49895768,0.16428
60,0.55838064,-0.25307,0.84632795,0.45629861,0.09316,0.55838064,-0.25307,0.45629861,0.09316
70,0.54783562,-0.26135,0.66596354,0.43169152,0.13406,0.54783562,-0.26135,0.43169152,0.13406
80,0.50488019,-0.296812,0.72164925,0.41297681,0.11648,0.50488019,-0.296812,0.41297681,0.11648
90,0.48618915,-0.313195,0.72050533,0.40644634,0.10844,0.48618915,-0.313195,0.40644634,0.10844
100,0.49043265,-0.309421,0.68535821,0.37131348,0.1558,0.49043265,-0.309421,0.37131348,0.1558
110,0.44034726,-0.356205,0.66107551,0.36235047,0.09344,0.44034726,-0.356205,0.36235047,0.09344
120,0.34803537,-0.458377,0.56972833,0.334873,0.08094,0.34803537,-0.458377,0.334873,0.08094
130,0.33040712,-0.480951,0.52543392,0.31899471,0.06478,0.33040712,-0.480951,0.31899471,0.06478
140,0.27878764,-0.554726,0.46460358,0.2480982,0.03112,0.27878764,-0.554726,0.2480982,0.03112
150,0.23330635,-0.632073,0.35986326,0.23368312,0.01724,0.23330635,-0.632073,0.23368312,0.01724
160,0.15703795,-0.803995,0.29691263,0.20673533,0.00542,0.15703795,-0.803995,0.20673533,0.00542
170,0.11233286,-0.949493,0.23216974,0.20358972,0.00266,0.11233286,-0.949493,0.20358972,0.00266
180,0.05757929,-1.239734,0.20077279,0.19049892,6e-05,0.05757929,-1.239734,0.19049892,6e-05
190,0.04008847,-1.396981,0.20343007,0.18876488,0.0,0.04008847,-1.396981,0.18876488,0.0
200,0.03756703,-1.425193,0.20194375,0.18983875,0.0,0.03756703,-1.425193,0.18983875,0.0
