epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
0,0.2,,,0.1,,0.069172,0.101538,0,43.26733288,1.63616,2.03561796,1.41560673,0.92824,0.442,0.3846,0.3862,0.3791,,,0.14233214,0.77453194,1954.44868892,0.0,1954448688916640.8,500,50,1,0.5074000000000001,0.4654591406908172,0.5645,0.40501263689974726,0.5633,0.40669755686604886,0.5698,0.3992207245155855,,
1,0.2,2.125076732139588,0.26422,0.3132,0.818192,0.259697,0.343549,0,47.18199689,1.673776,1.96191197,1.04998368,0.54994,0.4783,0.4419,0.4442,0.4743,,0.30102705,0.26006574,0.68962154,6.53030076,0.0,6530300764039.408,500,50,1,0.4711,0.5036857624262847,0.5072000000000001,0.46535383319292334,0.5053000000000001,0.46777590564448185,0.47459999999999997,0.49947346251053076,,
2,0.199987663248166,1.5208869981002808,0.43616,0.4974,0.379757,0.444791,0.580796,0,8.3203383,0.920141,1.5552586,0.72813677,0.29482,0.6013,0.5638,0.5836,0.5843,,0.22104959,0.11546492,0.87860419,7.20656735,0.0,7206567349520.579,500,50,1,0.3481000000000001,0.6332139848357202,0.3853000000000001,0.5937236731255265,0.3659,0.6145745577085089,0.3645999999999999,0.6153117101937658,,
3,0.1999506560365731,1.1894794244766236,0.57,0.5255,0.25313,0.510352,0.64995,0,2.89488516,0.461631,1.41565591,0.7047039,0.34452,0.7156,0.6707,0.6938,0.6946,,0.08250285,0.16417337,0.86909173,12.00132897,0.0,12001328971124.844,500,50,1,0.2338,0.7535804549283909,0.2784000000000001,0.7062973883740522,0.25570000000000004,0.7306234203875316,0.25429999999999997,0.7314658803706824,,
4,0.199888987496197,0.9249155179023744,0.67432,0.6158,0.317585,0.561177,0.67688,0,1.64523125,0.216227,1.10345004,0.63648482,0.309,0.7726,0.7278,0.7504,0.7458,,0.17560803,0.1595559,0.83454218,14.75817262,0.0,14758172618952.418,500,50,1,0.17680000000000007,0.8136057287278854,0.22130000000000005,0.7664279696714406,0.19910000000000005,0.7902274641954506,0.20309999999999995,0.7853833192923336,,
5,0.1998026728428271,0.7828608807182312,0.73088,0.6772,0.254853,0.588297,0.718252,0,1.19062639,0.075776,1.13679413,0.57908228,0.20826,0.7956,0.7562,0.7772,0.7747,,0.17275555,0.16905217,0.88558518,15.29217439,0.0,15292174394535.283,500,50,1,0.15380000000000005,0.8378264532434709,0.19290000000000007,0.796335299073294,0.1723,0.8184498736310025,0.1741999999999999,0.8158171861836563,,
6,0.1996917333733128,0.7132412595558166,0.75442,0.6834,0.279063,0.593851,0.681389,0,0.98669631,-0.005816,1.0680924,0.55430959,0.22368,0.8171,0.7787,0.8012,0.7966,,0.13168018,0.14205909,0.86462915,15.25134905,0.0,15251349053128.137,500,50,1,0.13229999999999997,0.8604675652906487,0.1704000000000001,0.8200294860994102,0.1483,0.8437236731255265,0.1523,0.8388795282224094,,
7,0.199556196460308,0.6621292525100708,0.77198,0.7095,0.224962,0.603223,0.728353,0,0.90291207,-0.044355,1.1631338,0.54253017,0.16238,0.8193,0.7905,0.8003,0.7987,,0.08211424,0.14572582,0.88465392,16.45623923,0.0,16456239227214.8,500,50,1,0.1301,0.8627843302443134,0.15860000000000007,0.8324557708508845,0.1492,0.8427759056444819,0.1502,0.8410909856781803,,
8,0.199396095545518,0.6398796360778809,0.77942,0.7312,0.229838,0.639061,0.737901,0,0.85435476,-0.068362,0.84684494,0.519241,0.17504,0.8251,0.7891,0.8089,0.808,,0.0798931,0.14713296,0.8983142,15.96445228,0.0,15964452282544.926,500,50,1,0.12430000000000008,0.8688921651221566,0.16000000000000003,0.8309814658803707,0.14060000000000006,0.8518323504633529,0.14089999999999991,0.8508845829823084,,
9,0.1992114701314478,0.6176154139900207,0.78952,0.7005,0.207741,0.637154,0.731047,0,0.8031944,-0.095179,0.96878974,0.55046027,0.22438,0.8354,0.8014,0.8141,0.8167,,0.1008885,0.18849051,0.85562384,18.60518711,0.0,18605187114591.73,500,50,1,0.11399999999999999,0.8797388374052233,0.14770000000000005,0.8439342881213142,0.13539999999999996,0.8573083403538332,0.13219999999999998,0.8600463352990733,,
