run_name,lr,seed,epoch,component,probe,train_acc,test_acc,k_main,threshold_mode,threshold_value
final_lr010_seed1,0.1,1,0,full,logistic_regression,0.4782,0.4412,245,singular_mass,0.8
final_lr010_seed1,0.1,1,0,main,logistic_regression,0.44458,0.4231,245,singular_mass,0.8
final_lr010_seed1,0.1,1,0,residual,logistic_regression,0.19362,0.1782,245,singular_mass,0.8
final_lr010_seed1,0.1,1,1,full,logistic_regression,0.61396,0.5844,195,singular_mass,0.8
final_lr010_seed1,0.1,1,1,main,logistic_regression,0.5834,0.5713,195,singular_mass,0.8
final_lr010_seed1,0.1,1,1,residual,logistic_regression,0.21796,0.1981,195,singular_mass,0.8
final_lr010_seed1,0.1,1,2,full,logistic_regression,0.748,0.7049,216,singular_mass,0.8
final_lr010_seed1,0.1,1,2,main,logistic_regression,0.72016,0.6943,216,singular_mass,0.8
final_lr010_seed1,0.1,1,2,residual,logistic_regression,0.2087,0.1842,216,singular_mass,0.8
final_lr010_seed1,0.1,1,3,full,logistic_regression,0.79128,0.753,211,singular_mass,0.8
final_lr010_seed1,0.1,1,3,main,logistic_regression,0.7702,0.7516,211,singular_mass,0.8
final_lr010_seed1,0.1,1,3,residual,logistic_regression,0.21356,0.1914,211,singular_mass,0.8
final_lr010_seed1,0.1,1,4,full,logistic_regression,0.84228,0.8037,208,singular_mass,0.8
final_lr010_seed1,0.1,1,4,main,logistic_regression,0.8228,0.8035,208,singular_mass,0.8
final_lr010_seed1,0.1,1,4,residual,logistic_regression,0.21406,0.1971,208,singular_mass,0.8
final_lr010_seed1,0.1,1,5,full,logistic_regression,0.86738,0.8271,201,singular_mass,0.8
final_lr010_seed1,0.1,1,5,main,logistic_regression,0.85094,0.8295,201,singular_mass,0.8
final_lr010_seed1,0.1,1,5,residual,logistic_regression,0.22004,0.2053,201,singular_mass,0.8
final_lr010_seed1,0.1,1,6,full,logistic_regression,0.88088,0.8347,184,singular_mass,0.8
final_lr010_seed1,0.1,1,6,main,logistic_regression,0.86346,0.8328,184,singular_mass,0.8
final_lr010_seed1,0.1,1,6,residual,logistic_regression,0.23634,0.2251,184,singular_mass,0.8
final_lr010_seed1,0.1,1,7,full,logistic_regression,0.8965,0.8482,173,singular_mass,0.8
final_lr010_seed1,0.1,1,7,main,logistic_regression,0.87844,0.853,173,singular_mass,0.8
final_lr010_seed1,0.1,1,7,residual,logistic_regression,0.26724,0.2507,173,singular_mass,0.8
final_lr010_seed1,0.1,1,8,full,logistic_regression,0.89756,0.8497,164,singular_mass,0.8
final_lr010_seed1,0.1,1,8,main,logistic_regression,0.8799,0.8529,164,singular_mass,0.8
final_lr010_seed1,0.1,1,8,residual,logistic_regression,0.26814,0.2442,164,singular_mass,0.8
final_lr010_seed1,0.1,1,9,full,logistic_regression,0.90604,0.8536,154,singular_mass,0.8
final_lr010_seed1,0.1,1,9,main,logistic_regression,0.88474,0.8551,154,singular_mass,0.8
final_lr010_seed1,0.1,1,9,residual,logistic_regression,0.28878,0.2726,154,singular_mass,0.8
final_lr010_seed1,0.1,1,10,full,logistic_regression,0.9139,0.8608,147,singular_mass,0.8
final_lr010_seed1,0.1,1,10,main,logistic_regression,0.89582,0.8607,147,singular_mass,0.8
final_lr010_seed1,0.1,1,10,residual,logistic_regression,0.29424,0.2754,147,singular_mass,0.8
final_lr010_seed1,0.1,1,11,full,logistic_regression,0.91448,0.8599,135,singular_mass,0.8
final_lr010_seed1,0.1,1,11,main,logistic_regression,0.89358,0.865,135,singular_mass,0.8
final_lr010_seed1,0.1,1,11,residual,logistic_regression,0.31304,0.2986,135,singular_mass,0.8
final_lr010_seed1,0.1,1,12,full,logistic_regression,0.92468,0.8695,123,singular_mass,0.8
final_lr010_seed1,0.1,1,12,main,logistic_regression,0.9016,0.8698,123,singular_mass,0.8
final_lr010_seed1,0.1,1,12,residual,logistic_regression,0.33152,0.31,123,singular_mass,0.8
final_lr010_seed1,0.1,1,13,full,logistic_regression,0.92448,0.869,126,singular_mass,0.8
final_lr010_seed1,0.1,1,13,main,logistic_regression,0.9039,0.8712,126,singular_mass,0.8
final_lr010_seed1,0.1,1,13,residual,logistic_regression,0.34976,0.3358,126,singular_mass,0.8
final_lr010_seed1,0.1,1,14,full,logistic_regression,0.9237,0.8707,116,singular_mass,0.8
final_lr010_seed1,0.1,1,14,main,logistic_regression,0.9014,0.8683,116,singular_mass,0.8
final_lr010_seed1,0.1,1,14,residual,logistic_regression,0.3529,0.3312,116,singular_mass,0.8
final_lr010_seed1,0.1,1,15,full,logistic_regression,0.93038,0.8747,113,singular_mass,0.8
final_lr010_seed1,0.1,1,15,main,logistic_regression,0.90628,0.8797,113,singular_mass,0.8
final_lr010_seed1,0.1,1,15,residual,logistic_regression,0.35806,0.3347,113,singular_mass,0.8
final_lr010_seed1,0.1,1,16,full,logistic_regression,0.93432,0.8806,112,singular_mass,0.8
final_lr010_seed1,0.1,1,16,main,logistic_regression,0.91058,0.8833,112,singular_mass,0.8
final_lr010_seed1,0.1,1,16,residual,logistic_regression,0.36812,0.3449,112,singular_mass,0.8
final_lr010_seed1,0.1,1,17,full,logistic_regression,0.93476,0.877,103,singular_mass,0.8
final_lr010_seed1,0.1,1,17,main,logistic_regression,0.90876,0.874,103,singular_mass,0.8
final_lr010_seed1,0.1,1,17,residual,logistic_regression,0.39108,0.3663,103,singular_mass,0.8
final_lr010_seed1,0.1,1,18,full,logistic_regression,0.93576,0.881,102,singular_mass,0.8
final_lr010_seed1,0.1,1,18,main,logistic_regression,0.91224,0.8822,102,singular_mass,0.8
final_lr010_seed1,0.1,1,18,residual,logistic_regression,0.40768,0.379,102,singular_mass,0.8
final_lr010_seed1,0.1,1,19,full,logistic_regression,0.93794,0.881,99,singular_mass,0.8
final_lr010_seed1,0.1,1,19,main,logistic_regression,0.91482,0.8872,99,singular_mass,0.8
final_lr010_seed1,0.1,1,19,residual,logistic_regression,0.39294,0.3752,99,singular_mass,0.8
