run,lr,seed,epoch,k,sv_mass,energy_mass,pa_mean_cos,pa_min_cos,pa_grassmann,cka_main_tofinal,cka_resid_tofinal
final_lr010_seed42,0.1,42,0,1,0.2078785073828656,0.923090621015154,0.049867637814787584,0.049867637814787584,1.5209079974986917,0.07270249314200174,0.04883152145733765
final_lr010_seed42,0.1,42,0,2,0.2338471700132361,0.9374959880233705,0.11499833248053348,0.06338656144328945,2.059539588481053,0.06094704638723169,0.02937406200378908
final_lr010_seed42,0.1,42,0,4,0.274388146975233,0.9555523159949866,0.10263410385879926,0.018332743424415474,2.9383845243171502,0.07485472687009104,0.020570121434060774
final_lr010_seed42,0.1,42,0,8,0.3203011168015498,0.9672947694590875,0.12108461799814994,0.011794238418555966,4.104494740172736,0.06706152137983937,0.01842933926397689
final_lr010_seed42,0.1,42,0,16,0.3735282158155687,0.9750085229540789,0.18142595414988885,0.012251107561572473,5.5828556032607155,0.06597388619750257,0.04009293816282985
final_lr010_seed42,0.1,42,0,32,0.4412990979999116,0.9812265632333992,0.22820337942298713,0.007904282180746625,7.623289772500286,0.06603999560652399,0.05621697371783291
final_lr010_seed42,0.1,42,0,39,0.4648223915569377,0.9829160167037828,0.24990796472013718,0.007754837659904633,8.278766366100772,0.06605498699182831,0.06437774818430374
final_lr010_seed42,0.1,42,0,52,0.5037478885718109,0.9854118389718423,0.27855293754650495,0.000580406926567963,9.352059355095697,0.06607739366542388,0.07710230524616879
final_lr010_seed42,0.1,42,0,64,0.5348862883237178,0.98713980586641,0.3036220426828379,0.0045024117943896465,10.177283606679973,0.06609184624143555,0.08828517374102639
final_lr010_seed42,0.1,42,0,128,0.6618308047552033,0.9925904121924114,0.4369601466186173,0.0003428363101461337,12.842323136731121,0.06612010362143175,0.10362754660651576
final_lr010_seed42,0.1,42,0,256,0.8265856367282626,0.9972019652943213,0.6298405043015152,0.0021773093537814764,14.6864580083874,0.06613187333869798,0.09034108782266825
final_lr010_seed42,0.1,42,0,512,0.9999999999999987,0.9999999999999999,1.0,1.0,3.120826039259828e-14,0.06613818260971846,0.9999807824721582
final_lr010_seed42,0.1,42,1,1,0.10257052811670893,0.3684834982759987,0.4861297587435486,0.4861297587435486,1.0631408254665626,0.335597579079169,0.11009435118134707
final_lr010_seed42,0.1,42,1,2,0.18432699511615108,0.6025919495291253,0.46771238449723,0.2615148642832852,1.5483037713140368,0.3831212700161313,0.11715415181106094
final_lr010_seed42,0.1,42,1,4,0.28467563534965923,0.779021120167983,0.43533368526470595,0.12203137756839703,2.264484757435743,0.3540407860149328,0.06204271766917108
final_lr010_seed42,0.1,42,1,8,0.4043471280935908,0.9098535651449805,0.4251564287751801,0.041293506320890745,3.244244247282643,0.3153779177718805,0.02029435596552349
final_lr010_seed42,0.1,42,1,16,0.5083368428497039,0.9614153900203853,0.41700675060338954,0.030287612411050362,4.629323675903922,0.3120414626697003,0.03596526173785795
final_lr010_seed42,0.1,42,1,32,0.5999936806548913,0.9807357110947357,0.37021194730960816,0.0033950686716196095,6.828472437042123,0.3122595310139634,0.04996491134867522
final_lr010_seed42,0.1,42,1,39,0.6259279217587963,0.9841108002823813,0.3725842210277355,0.016744389845977963,7.515163336834652,0.3122881499012383,0.060369374648074285
final_lr010_seed42,0.1,42,1,52,0.6634887377261528,0.9879462024684622,0.3829459775990338,0.0034788993151588024,8.59637834552606,0.31233109217730165,0.07475098040417462
final_lr010_seed42,0.1,42,1,64,0.6906271883730996,0.9901023562572054,0.3898535973150544,0.011136196984608451,9.47800867361265,0.31235307675645463,0.08376687701192725
final_lr010_seed42,0.1,42,1,128,0.7852170816961223,0.9951517331503157,0.47375385453532887,0.001559119930954054,12.400724946776995,0.3123870633296467,0.10319017294803999
