run,lr,seed,epoch,cka_biased_tofinal,cka_debiased_tofinal,svcca_tofinal,cka_biased_tofinal_heldout,svcca_tofinal_heldout,cka_biased_consec,cka_debiased_consec
final_lr010_seed42,0.1,42,0,0.06613818260971846,0.06476713294838021,0.2898445299699964,0.06160765502390234,0.29209103072248294,,
final_lr010_seed42,0.1,42,1,0.3124044834611535,0.31214149909328287,0.32707341824468733,0.34264821200042084,0.3355167889914171,0.16266720941280183,0.16283674708388704
final_lr010_seed42,0.1,42,2,0.4673355182336261,0.465834011184301,0.43625852599537485,0.4797201524453293,0.43756614806110206,0.6420296696832195,0.6433186412460543
final_lr010_seed42,0.1,42,3,0.5142778070188043,0.5130024359638724,0.4949182717411457,0.5157044795313822,0.5005868038448772,0.7983743292581282,0.7980167498607663
final_lr010_seed42,0.1,42,4,0.5715985086425862,0.5702791193232825,0.5360351330595127,0.5639990041308206,0.5374035637435406,0.760820486549542,0.7602767358168219
final_lr010_seed42,0.1,42,5,0.6347998168925486,0.6337684233491618,0.5769673702642102,0.6343369931005711,0.5748500779665796,0.8399343367944919,0.8395508097914203
final_lr010_seed42,0.1,42,6,0.6624982711048619,0.6615756469442085,0.5958796569363296,0.6631489194057042,0.593167477677357,0.8798848726244825,0.8795984220922559
final_lr010_seed42,0.1,42,7,0.6719947237860432,0.671190465063671,0.6037066429460939,0.6674601558918828,0.5986393131188721,0.8743739970958386,0.8741150047431283
final_lr010_seed42,0.1,42,8,0.6745093463182237,0.673743653954101,0.6068565039054572,0.6792909978894828,0.6044780032372804,0.8375059598283975,0.8372045574279952
final_lr010_seed42,0.1,42,9,0.7029527059444018,0.7021850558326189,0.6104479254715846,0.7040080730747417,0.6053445827872367,0.848019420031338,0.8477049040445498
final_lr010_seed42,0.1,42,10,0.6361619776392325,0.6355358220997779,0.5954088914780702,0.6337023818445022,0.5979120123996169,0.8103669509502691,0.8100627537314029
final_lr010_seed42,0.1,42,11,0.7011935154559022,0.700490265607822,0.6023186575307802,0.703744036281855,0.6087757645509396,0.7921738227324939,0.7917640739817021
final_lr010_seed42,0.1,42,12,0.7091265579642428,0.7083927485294921,0.605083508918385,0.7057760754830456,0.6108821121854349,0.821266526220141,0.8209035189624726
final_lr010_seed42,0.1,42,13,0.683053674900181,0.6823135315155879,0.5934019333705441,0.6894120089869658,0.5987629561271611,0.7679546978264451,0.7675468641081344
final_lr010_seed42,0.1,42,14,0.6943325569634822,0.6936164652290617,0.5950533566743949,0.6984714126718344,0.5960622629852045,0.8599659106222994,0.8597086064963094
final_lr010_seed42,0.1,42,15,0.6832048884955,0.682593438972762,0.6012806538773059,0.6834412662261969,0.6011365146343393,0.8092356496078289,0.8089160605282654
final_lr010_seed42,0.1,42,16,0.7191058081305723,0.7184554025216842,0.6062137476669769,0.7178157110333747,0.6100089468727867,0.7870752684582472,0.7867810062164301
final_lr010_seed42,0.1,42,17,0.7150189795096019,0.7144023307932007,0.6131911622059345,0.709560958282406,0.6166163139413215,0.7877006273832364,0.7871878901383341
final_lr010_seed42,0.1,42,18,0.7324133723259879,0.7317093070949232,0.6207086292081823,0.7243997147914089,0.6170704300407344,0.8507884801032006,0.850465314421817
final_lr010_seed42,0.1,42,19,0.7325935404214793,0.7319830697479658,0.6161857323430461,0.7283634326129723,0.613249381987644,0.8203886175503783,0.8199909786021179
final_lr010_seed42,0.1,42,20,0.7055514614103469,0.7048924721711606,0.6040230614078478,0.6966554917895237,0.6006048821108743,0.8132999626055827,0.8129860956336439
final_lr010_seed42,0.1,42,22,0.7185207443543051,0.71797089002401,0.6123061689308688,0.7194425064477726,0.6155303723038789,0.7896595977672363,0.789184766997119
final_lr010_seed42,0.1,42,24,0.7214844552255563,0.7208477739012431,0.6060512597949689,0.7201913775730424,0.6075224723748035,0.8407141301795534,0.8403818452435771
final_lr010_seed42,0.1,42,26,0.7384971722596768,0.7378748482175032,0.6203651927018695,0.7361869829416845,0.6180972051203982,0.8230524153867519,0.8226494258587312
final_lr010_seed42,0.1,42,28,0.7474376057387273,0.7469535730915167,0.622087694048849,0.7419508801202199,0.6256238838348024,0.82538672821424,0.8250414871078351
final_lr010_seed42,0.1,42,30,0.6730005301592821,0.6723450632272238,0.6070090988667944,0.6701492072660867,0.6057104857732848,0.743866092785973,0.7433704172097367
final_lr010_seed42,0.1,42,35,0.7357200405544313,0.7352747345826796,0.6285311903221514,0.7336144619925907,0.6304291966347926,0.7226509373047686,0.7220722637027952
final_lr010_seed42,0.1,42,40,0.7012503116454523,0.7005606765198686,0.609112305699989,0.7093291872829458,0.61354026870281,0.7366060807064528,0.7360255729153522
final_lr010_seed42,0.1,42,45,0.7569857787095147,0.7564794363241968,0.6286912940178021,0.7545894624764627,0.6307991972290954,0.7521081028477862,0.7515039348059845
final_lr010_seed42,0.1,42,50,0.7445746882144174,0.7440867112892617,0.6356526303312414,0.7327642634902428,0.6323868338827321,0.8141432967418385,0.8137967937925467
final_lr010_seed42,0.1,42,60,0.7670052886809109,0.7665564935349755,0.636301575469247,0.7665290731016782,0.6374837340760134,0.7666251858959721,0.7661543404265896
final_lr010_seed42,0.1,42,70,0.7865774945492165,0.7861492912874167,0.6526213857323543,0.7817304599475228,0.6604180157089472,0.8320122930055974,0.8315910837638334
final_lr010_seed42,0.1,42,80,0.7749010598274302,0.7744852630913998,0.6513804465958575,0.7800157374763578,0.6484443709002512,0.7934639034624426,0.792987962067184
