epoch,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included
0,nan,0.08005129,0.86557839,1647.19186958,0.0,1647191869580539.5,500,50,1
1,0.13538229,0.0859422,0.91993219,67.51202255,0.0,67512022546204.86,500,50,1
2,0.04439892,0.12280964,0.89058269,60.71113354,0.0,60711133539928.83,500,50,1
3,0.05615235,0.12891889,0.90861744,58.31082981,0.0,58310829811786.66,500,50,1
4,0.02647244,0.12111869,0.91556538,56.16740813,0.0,56167408131091.59,500,50,1
5,0.04349381,0.15564009,0.89788839,65.20679125,0.0,65206791247704.74,500,50,1
6,0.03761956,0.15097749,0.90629768,60.45912319,0.0,60459123185082.06,500,50,1
7,0.02426377,0.16511448,0.8940102,80.85165524,0.0,80851655237402.64,500,50,1
8,0.04101177,0.17930855,0.88528348,70.75883471,0.0,70758834711302.1,500,50,1
9,0.02476072,0.16936707,0.88948325,65.83389307,0.0,65833893065941.33,500,50,1
10,0.03979638,0.12118401,0.91680302,52.45368808,0.0,52453688084121.484,500,50,1
11,0.04946937,0.18983601,0.86019298,53.09448535,0.0,53094485345522.52,500,50,1
12,0.09003449,0.10529237,0.93058108,42.20388842,0.0,42203888422055.31,500,50,1
13,0.06091715,0.12186115,0.91387482,48.11304353,0.0,48113043534741.53,500,50,1
14,0.0804708,0.09599449,0.9280436,43.55491275,0.0,43554912753528.555,500,50,1
15,0.05358223,0.1402803,0.88955603,40.64691485,0.0,40646914853978.93,500,50,1
16,0.08610058,0.07963475,0.93867756,32.81182295,0.0,32811822950781.08,500,50,1
17,0.05438532,0.10527923,0.92754519,35.97446072,0.0,35974460724813.625,500,50,1
18,0.07119394,0.08396035,0.93097812,34.65417558,0.0,34654175580834.023,500,50,1
19,0.07518562,0.0956931,0.92663234,33.51152699,0.0,33511526993550.61,500,50,1
20,0.05153172,0.10270453,0.92310969,36.68232376,0.0,36682323757364.836,500,50,1
22,0.05089045,0.10696344,0.91952783,33.95553946,0.0,33955539463407.71,500,50,1
24,0.04406049,0.06955032,0.94396054,33.63974717,0.0,33639747170733.293,500,50,1
26,0.0438721,0.07507276,0.94131805,36.04432869,0.0,36044328691706.86,500,50,1
28,0.0615202,0.08939684,0.92333015,36.64352375,0.0,36643523748086.85,500,50,1
30,0.05946687,0.09054751,0.92846465,40.19255155,0.0,40192551546293.31,500,50,1
35,0.04520179,0.08459997,0.93169026,35.89349567,0.0,35893495670301.95,500,50,1
40,0.06807729,0.07623591,0.93039469,35.79840809,0.0,35798408093589.68,500,50,1
45,0.07591954,0.06739193,0.94250344,34.90384601,0.0,34903846008884.926,500,50,1
50,0.03464407,0.07379879,0.9351513,37.48578556,0.0,37485785555546.38,500,50,1
60,0.06541657,0.05247373,0.95260569,33.5798916,0.0,33579891601247.562,500,50,1
70,0.03522841,0.0486482,0.9557107,37.36365197,0.0,37363651967385.79,500,50,1
80,0.02598939,0.05005462,0.95471541,38.58411107,0.0,38584111070659.6,500,50,1
90,0.02681267,0.04421725,0.95695807,37.64933438,0.0,37649334375816.79,500,50,1
100,0.02790501,0.03688494,0.96324994,37.21542044,0.0,37215420442602.875,500,50,1
110,0.0251102,0.02850655,0.96879894,39.63137824,0.0,39631378244561.92,500,50,1
120,0.03394785,0.02191884,0.97655981,38.14143827,0.0,38141438271162.34,500,50,1
130,0.02361363,0.01997408,0.97814621,37.29657151,0.0,37296571514205.055,500,50,1
140,0.01919074,0.01014824,0.98960883,36.33785637,0.0,36337856371532.14,500,50,1
150,0.01126037,0.00661358,0.99345631,36.11853084,0.0,36118530837254.26,500,50,1
160,0.00737837,0.0029635,0.99722528,35.16255737,0.0,35162557365578.88,500,50,1
170,0.00256429,0.00084274,0.99920454,34.82728247,0.0,34827282466396.1,500,50,1
180,0.00068941,0.00052892,0.99961379,34.42051694,0.0,34420516940511.242,500,50,1
190,0.00024349,0.00058006,0.99941994,34.33658067,0.0,34336580674541.367,500,50,1
200,0.00058006,-0.0,nan,34.11424783,0.0,34114247832951.96,500,50,1
