epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.063701,0.085881,0
1,2040,0.859073,0.466884,0.590312,0
2,2040,0.265573,0.520308,0.633938,0
3,2040,0.206512,0.565431,0.679706,0
4,2040,0.162011,0.642637,0.751751,0
5,2040,0.142884,0.627596,0.729779,0
6,2040,0.146606,0.667228,0.772197,0
7,2040,0.098254,0.685632,0.776002,0
8,2040,0.116186,0.663495,0.762963,0
9,2040,0.106041,0.695998,0.778756,0
10,2040,0.121564,0.714491,0.782484,0
11,2040,0.158998,0.669971,0.744469,0
12,2040,0.183067,0.729812,0.798147,0
13,2040,0.14659,0.72942,0.795598,0
14,2040,0.155514,0.718576,0.785748,0
15,2040,0.129624,0.705538,0.765311,0
16,2040,0.182153,0.748479,0.797658,0
17,2040,0.150581,0.749835,0.801812,0
18,2040,0.176695,0.735252,0.776907,0
19,2040,0.180114,0.758369,0.801625,0
20,2040,0.134437,0.750791,0.79217,0
22,2040,0.169034,0.753722,0.788496,0
24,2040,0.144629,0.788878,0.818922,0
26,2040,0.127808,0.780062,0.807311,0
28,2040,0.173399,0.770644,0.795417,0
30,2040,0.157936,0.77751,0.800936,0
35,2040,0.157788,0.769013,0.789272,0
40,2040,0.187719,0.782457,0.79526,0
45,2040,0.194241,0.800192,0.808187,0
50,2040,0.154424,0.802969,0.808737,0
60,2040,0.206054,0.788486,0.796553,0
70,2040,0.194927,0.83295,0.836373,0
80,2040,0.133012,0.85098,0.851426,0
90,2040,0.129749,0.854984,0.852578,0
100,2040,0.13366,0.866391,0.86211,0
110,2040,0.138585,0.861796,0.856269,0
120,2040,0.153758,0.894882,0.889331,0
130,2040,0.132486,0.900016,0.895883,0
140,2040,0.110051,0.926357,0.924558,0
150,2040,0.083737,0.951202,0.949895,0
160,2040,0.055259,0.980929,0.980853,0
170,2040,0.018663,0.995721,0.995574,1
180,2040,0.004488,0.998684,0.998852,1
190,2040,0.000979,0.999322,0.999322,1
200,2040,0.000678,1.0,nan,1
