epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.140927,0.859073,0
1,2,2040,0.734427,0.265573,0
2,3,2040,0.793488,0.206512,0
3,4,2040,0.837989,0.162011,0
4,5,2040,0.857116,0.142884,0
5,6,2040,0.853394,0.146606,0
6,7,2040,0.901746,0.098254,0
7,8,2040,0.883814,0.116186,0
8,9,2040,0.893959,0.106041,0
9,10,2040,0.878436,0.121564,0
10,11,2040,0.841002,0.158998,0
11,12,2040,0.816933,0.183067,0
12,13,2040,0.85341,0.14659,0
13,14,2040,0.844486,0.155514,0
14,15,2040,0.870376,0.129624,0
15,16,2040,0.817847,0.182153,0
16,17,2040,0.849419,0.150581,0
17,18,2040,0.823305,0.176695,0
18,19,2040,0.819886,0.180114,0
19,20,2040,0.865563,0.134437,0
20,22,2040,0.830966,0.169034,0
22,24,2040,0.855371,0.144629,0
24,26,2040,0.872192,0.127808,0
26,28,2040,0.826601,0.173399,0
28,30,2040,0.842064,0.157936,0
30,35,2040,0.842212,0.157788,0
35,40,2040,0.812281,0.187719,0
40,45,2040,0.805759,0.194241,0
45,50,2040,0.845576,0.154424,0
50,60,2040,0.793946,0.206054,0
60,70,2040,0.805073,0.194927,0
70,80,2040,0.866988,0.133012,0
80,90,2040,0.870251,0.129749,0
90,100,2040,0.86634,0.13366,0
100,110,2040,0.861415,0.138585,0
110,120,2040,0.846242,0.153758,0
120,130,2040,0.867514,0.132486,0
130,140,2040,0.889949,0.110051,0
140,150,2040,0.916263,0.083737,0
150,160,2040,0.944741,0.055259,0
160,170,2040,0.981337,0.018663,1
170,180,2040,0.995512,0.004488,1
180,190,2040,0.999021,0.000979,1
190,200,2040,0.999322,0.000678,1
