epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4409,0.3901,0.4182,0.3853,nan
1,0.6661,0.62,0.639,0.6425,nan
2,0.7442,0.7111,0.7291,0.7274,nan
3,0.7927,0.7475,0.7796,0.7756,nan
4,0.8253,0.7894,0.817,0.8158,nan
5,0.8322,0.7974,0.8234,0.8217,nan
6,0.8554,0.823,0.8498,0.8495,nan
7,0.8655,0.8303,0.8565,0.8551,nan
8,0.8635,0.8417,0.8619,0.8622,nan
9,0.8765,0.8478,0.8677,0.8693,nan
10,0.8824,0.859,0.8731,0.8734,nan
11,0.8815,0.8544,0.871,0.8717,nan
12,0.8896,0.8633,0.8783,0.8799,nan
13,0.8819,0.8675,0.8777,0.879,nan
14,0.8938,0.8715,0.8854,0.8865,nan
15,0.8884,0.8701,0.8792,0.8801,nan
16,0.8952,0.8724,0.8835,0.8849,nan
17,0.8973,0.8752,0.89,0.8913,nan
18,0.8891,0.8713,0.875,0.8756,nan
19,0.8983,0.88,0.887,0.8898,nan
20,0.902,0.8833,0.8916,0.8947,nan
22,0.8974,0.8811,0.8898,0.8895,nan
24,0.9024,0.886,0.8963,0.8966,nan
26,0.9049,0.887,0.8951,0.8951,nan
28,0.9073,0.8914,0.8976,0.9005,nan
30,0.9084,0.8988,0.9007,0.9014,nan
35,0.9044,0.8909,0.8927,0.895,nan
40,0.9101,0.8988,0.8973,0.8978,nan
45,0.913,0.9017,0.8974,0.8992,nan
50,0.9189,0.9076,0.9074,0.9081,nan
60,0.914,0.9017,0.9005,0.9021,nan
70,0.9217,0.9134,0.9131,0.9143,nan
80,0.9275,0.9195,0.9202,0.9224,nan
90,0.9256,0.9167,0.919,0.9191,nan
100,0.927,0.9219,0.9211,0.9227,nan
110,0.9242,0.9213,0.9202,0.9217,nan
120,0.9299,0.9272,0.9278,0.9294,nan
130,0.9288,0.9237,0.926,0.9252,nan
140,0.9379,0.9355,0.9374,0.9375,nan
150,0.9423,0.9432,0.9435,0.944,nan
160,0.9471,0.9472,0.948,0.9477,nan
170,0.9516,0.9505,0.9515,0.9516,nan
180,0.9531,0.9526,0.9535,0.953,nan
190,0.9533,0.9527,0.9537,0.9535,nan
200,0.9536,0.953,0.954,0.9528,nan
