epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.442,0.3846,0.3862,0.3791,nan
1,0.4783,0.4419,0.4442,0.4743,nan
2,0.6013,0.5638,0.5836,0.5843,nan
3,0.7156,0.6707,0.6938,0.6946,nan
4,0.7726,0.7278,0.7504,0.7458,nan
5,0.7956,0.7562,0.7772,0.7747,nan
6,0.8171,0.7787,0.8012,0.7966,nan
7,0.8193,0.7905,0.8003,0.7987,nan
8,0.8251,0.7891,0.8089,0.808,nan
9,0.8354,0.8014,0.8141,0.8167,nan
10,0.8215,0.7853,0.7945,0.7859,nan
11,0.8412,0.8065,0.8227,0.8196,nan
12,0.8419,0.8089,0.8198,0.8182,nan
13,0.848,0.8138,0.8297,0.8303,nan
14,0.8471,0.8138,0.827,0.8239,nan
15,0.8463,0.8166,0.8342,0.8356,nan
16,0.8478,0.8107,0.8266,0.8252,nan
17,0.8522,0.8201,0.8349,0.8339,nan
18,0.8526,0.8272,0.8424,0.8415,nan
19,0.843,0.8169,0.8255,0.8276,nan
20,0.8565,0.8263,0.8411,0.8385,nan
22,0.8449,0.8129,0.8241,0.8214,nan
24,0.8455,0.8222,0.8269,0.8251,nan
26,0.8633,0.8311,0.8472,0.8447,nan
28,0.8601,0.8337,0.8446,0.8423,nan
30,0.8487,0.8199,0.8259,0.8226,nan
35,0.8628,0.8372,0.8488,0.8487,nan
40,0.8608,0.8388,0.8418,0.843,nan
45,0.87,0.8447,0.8528,0.8526,nan
50,0.8638,0.8361,0.8456,0.8434,nan
60,0.8751,0.8508,0.8592,0.8592,nan
70,0.8802,0.8591,0.8635,0.863,nan
80,0.8891,0.8671,0.8728,0.8741,nan
90,0.8883,0.8686,0.871,0.8724,nan
100,0.8929,0.8772,0.8746,0.8757,nan
110,0.9017,0.8884,0.8884,0.8922,nan
120,0.9077,0.8946,0.8995,0.901,nan
130,0.9139,0.9024,0.9032,0.9041,nan
140,0.9193,0.9119,0.9063,0.9074,nan
150,0.9251,0.9178,0.9155,0.918,nan
160,0.9325,0.9256,0.9307,0.9299,nan
170,0.9365,0.9346,0.9372,0.9369,nan
180,0.9471,0.9465,0.9472,0.9477,nan
190,0.9486,0.9476,0.9482,0.949,nan
200,0.9494,0.9491,0.9495,0.9489,nan
