epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.181808,0.818192,0
1,2,2040,0.620243,0.379757,0
2,3,2040,0.74687,0.25313,0
3,4,2040,0.682415,0.317585,0
4,5,2040,0.745147,0.254853,0
5,6,2040,0.720937,0.279063,0
6,7,2040,0.775038,0.224962,0
7,8,2040,0.770162,0.229838,0
8,9,2040,0.792259,0.207741,0
9,10,2040,0.772272,0.227728,0
10,11,2040,0.734293,0.265707,0
11,12,2040,0.717252,0.282748,0
12,13,2040,0.80134,0.19866,0
13,14,2040,0.76803,0.23197,0
14,15,2040,0.712906,0.287094,0
15,16,2040,0.749197,0.250803,0
16,17,2040,0.717887,0.282113,0
17,18,2040,0.787098,0.212902,0
18,19,2040,0.757596,0.242404,0
19,20,2040,0.721838,0.278162,0
20,22,2040,0.716826,0.283174,0
22,24,2040,0.694189,0.305811,0
24,26,2040,0.721502,0.278498,0
26,28,2040,0.793702,0.206298,0
28,30,2040,0.741127,0.258873,0
30,35,2040,0.725752,0.274248,0
35,40,2040,0.725712,0.274288,0
40,45,2040,0.777331,0.222669,0
45,50,2040,0.762785,0.237215,0
50,60,2040,0.824347,0.175653,0
60,70,2040,0.749189,0.250811,0
70,80,2040,0.806081,0.193919,0
80,90,2040,0.81296,0.18704,0
90,100,2040,0.793135,0.206865,0
100,110,2040,0.756152,0.243848,0
110,120,2040,0.833026,0.166974,0
120,130,2040,0.846523,0.153477,0
130,140,2040,0.816172,0.183828,0
140,150,2040,0.841614,0.158386,0
150,160,2040,0.867276,0.132724,0
160,170,2040,0.894945,0.105055,0
170,180,2040,0.936125,0.063875,0
180,190,2040,0.98715,0.01285,1
190,200,2040,0.998547,0.001453,1
