epoch_a,epoch_b,n_samples,cka_value
0,0,2040,1.0
0,1,2040,0.181808
0,2,2040,0.174293
0,3,2040,0.152448
0,4,2040,0.105125
0,5,2040,0.147258
0,6,2040,0.09293
0,7,2040,0.103905
0,8,2040,0.121918
0,9,2040,0.091984
0,10,2040,0.094943
0,11,2040,0.079238
0,12,2040,0.126447
0,13,2040,0.093701
0,14,2040,0.086353
0,15,2040,0.121663
0,16,2040,0.115505
0,17,2040,0.106763
0,18,2040,0.089124
0,19,2040,0.108071
0,20,2040,0.113586
0,22,2040,0.08074
0,24,2040,0.093812
0,26,2040,0.095836
0,28,2040,0.130199
0,30,2040,0.07955
0,35,2040,0.097326
0,40,2040,0.132047
0,45,2040,0.103948
0,50,2040,0.086179
0,60,2040,0.075264
0,70,2040,0.116624
0,80,2040,0.111875
0,90,2040,0.069262
0,100,2040,0.078079
0,110,2040,0.10995
0,120,2040,0.083496
0,130,2040,0.081675
0,140,2040,0.077787
0,150,2040,0.082295
0,160,2040,0.082351
0,170,2040,0.083235
0,180,2040,0.069634
0,190,2040,0.070264
0,200,2040,0.069172
1,1,2040,1.0
1,2,2040,0.620243
1,3,2040,0.432636
1,4,2040,0.3854
1,5,2040,0.448277
1,6,2040,0.33162
1,7,2040,0.389274
1,8,2040,0.342724
1,9,2040,0.327311
1,10,2040,0.264677
1,11,2040,0.313018
1,12,2040,0.394514
1,13,2040,0.351302
1,14,2040,0.359641
1,15,2040,0.325694
1,16,2040,0.41316
1,17,2040,0.344495
1,18,2040,0.335912
1,19,2040,0.326241
1,20,2040,0.364857
1,22,2040,0.303343
1,24,2040,0.322425
1,26,2040,0.369785
1,28,2040,0.378147
1,30,2040,0.368377
1,35,2040,0.360574
1,40,2040,0.367885
1,45,2040,0.349114
1,50,2040,0.328058
1,60,2040,0.33057
1,70,2040,0.311172
1,80,2040,0.341317
1,90,2040,0.351696
1,100,2040,0.312141
1,110,2040,0.377944
1,120,2040,0.323254
1,130,2040,0.288915
1,140,2040,0.276252
1,150,2040,0.275576
1,160,2040,0.307665
1,170,2040,0.277124
1,180,2040,0.262166
1,190,2040,0.258423
1,200,2040,0.259697
2,2,2040,1.0
2,3,2040,0.74687
2,4,2040,0.667447
2,5,2040,0.685914
2,6,2040,0.600279
2,7,2040,0.699466
2,8,2040,0.607317
2,9,2040,0.622179
2,10,2040,0.56053
2,11,2040,0.572645
2,12,2040,0.654907
2,13,2040,0.645239
2,14,2040,0.61221
2,15,2040,0.569397
2,16,2040,0.615884
2,17,2040,0.598958
2,18,2040,0.609715
2,19,2040,0.584549
2,20,2040,0.611845
2,22,2040,0.562219
2,24,2040,0.568413
2,26,2040,0.625093
2,28,2040,0.595623
2,30,2040,0.597036
2,35,2040,0.577436
2,40,2040,0.608849
2,45,2040,0.622994
2,50,2040,0.591328
2,60,2040,0.596098
2,70,2040,0.555679
2,80,2040,0.586207
2,90,2040,0.577365
2,100,2040,0.548013
2,110,2040,0.593722
2,120,2040,0.568198
2,130,2040,0.512634
2,140,2040,0.504184
2,150,2040,0.47923
2,160,2040,0.471659
2,170,2040,0.456574
2,180,2040,0.441631
2,190,2040,0.443114
2,200,2040,0.444791
3,3,2040,1.0
3,4,2040,0.682415
3,5,2040,0.763441
3,6,2040,0.668281
3,7,2040,0.749941
3,8,2040,0.718536
3,9,2040,0.731989
3,10,2040,0.653705
