epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.137094,0.862906,0
1,2,2040,0.725433,0.274567,0
2,3,2040,0.738737,0.261263,0
3,4,2040,0.726045,0.273955,0
4,5,2040,0.740705,0.259295,0
5,6,2040,0.819571,0.180429,0
6,7,2040,0.811221,0.188779,0
7,8,2040,0.813415,0.186585,0
8,9,2040,0.708375,0.291625,0
9,10,2040,0.686078,0.313922,0
10,11,2040,0.729299,0.270701,0
11,12,2040,0.805492,0.194508,0
12,13,2040,0.796154,0.203846,0
13,14,2040,0.764921,0.235079,0
14,15,2040,0.744996,0.255004,0
15,16,2040,0.734372,0.265628,0
16,17,2040,0.784731,0.215269,0
17,18,2040,0.793353,0.206647,0
18,19,2040,0.748388,0.251612,0
19,20,2040,0.670024,0.329976,0
20,22,2040,0.774115,0.225885,0
22,24,2040,0.809448,0.190552,0
24,26,2040,0.765843,0.234157,0
26,28,2040,0.708071,0.291929,0
28,30,2040,0.661283,0.338717,0
30,35,2040,0.708962,0.291038,0
35,40,2040,0.742244,0.257756,0
40,45,2040,0.721087,0.278913,0
45,50,2040,0.737652,0.262348,0
50,60,2040,0.791662,0.208338,0
60,70,2040,0.739211,0.260789,0
70,80,2040,0.828178,0.171822,0
80,90,2040,0.793921,0.206079,0
90,100,2040,0.7791,0.2209,0
100,110,2040,0.811259,0.188741,0
110,120,2040,0.846651,0.153349,0
120,130,2040,0.828972,0.171028,0
130,140,2040,0.837833,0.162167,0
140,150,2040,0.859564,0.140436,0
150,160,2040,0.889299,0.110701,0
160,170,2040,0.894383,0.105617,0
170,180,2040,0.932219,0.067781,0
180,190,2040,0.984642,0.015358,1
190,200,2040,0.99846,0.00154,1
