epoch,lr,train_loss,train_acc,test_loss,test_acc
0,0.2,nan,nan,2.580973127746582,0.1
1,0.2,2.2271138912582398,0.20386,1.7993761615753174,0.3204
2,0.19998766324816608,1.6337552819061278,0.38624,1.5573404876708985,0.436
3,0.19995065603657317,1.3371510761260987,0.50868,1.2401282258987427,0.5662
4,0.19988898749619702,1.0964825397109985,0.60434,1.3208892568588257,0.5426
5,0.19980267284282718,0.9173518192100525,0.67716,1.0671118416786194,0.6508
6,0.19969173337331284,0.8007661766624451,0.72142,0.9638882656097412,0.6694
7,0.19955619646030803,0.7299296146583557,0.74978,0.924244680595398,0.699
8,0.19939609554551802,0.6840975696182251,0.7642,0.7425956171035767,0.7489
9,0.19921147013144783,0.6564217330741883,0.7754,1.1255074520111084,0.6437
10,0.19900236577165578,0.6446018947982788,0.7802,1.5225926584243774,0.5554
11,0.19876883405951382,0.6187484733772278,0.79032,0.7439062151908874,0.7518
12,0.19851093261547742,0.6114174031639099,0.7914,0.7168942409515381,0.7575
13,0.1982287250728689,0.5893105834770203,0.79716,0.8133836093902588,0.7286
14,0.1979222810621766,0.5782896018600464,0.80088,0.7028242840766906,0.7656
15,0.19759167619387477,0.5698283521652222,0.80756,0.854689370727539,0.7274
16,0.1972369920397677,0.5667018922424316,0.80566,0.6520384269714355,0.7784
17,0.19685831611286314,0.5520109994506835,0.81074,1.1121652132987976,0.6661
18,0.19645574184577985,0.5472656962585449,0.8131,0.6480368682861328,0.7797
19,0.19602936856769435,0.542891057548523,0.81428,0.7359503611564636,0.7609
20,0.19557930147983305,0.5302685999298096,0.81976,0.7493208151817322,0.7503
21,0.1951056516295154,0.5408144632053375,0.81546,1.2777760719299316,0.6718
22,0.19460853588275456,0.5254503145027161,0.82098,0.6120519947052002,0.7892
23,0.19408807689542257,0.519962769613266,0.82338,0.8600050189018249,0.7334
24,0.19354440308298676,0.5236212845039367,0.82396,0.5949533554077149,0.7907
25,0.19297764858882516,0.5168032952690125,0.82424,0.5954055094242096,0.8024
26,0.1923879532511287,0.5114651913833618,0.82694,0.8928757222175598,0.7189
27,0.19177546256839811,0.511794618434906,0.82592,0.8007932062149048,0.7574
28,0.19114032766354452,0.5018146822929382,0.82878,0.9087665012359619,0.7035
29,0.19048270524660196,0.5008411561489106,0.83026,0.7057059064388275,0.773
30,0.18980275757606158,0.4987540988826752,0.82844,0.7484762392044068,0.753
31,0.1891006524188368,0.4941893594169617,0.83186,0.656155770111084,0.7817
32,0.1883765630088694,0.49772702842235567,0.83088,0.7090275128364563,0.7605
33,0.18763066800438638,0.48847383920669557,0.83412,0.5671960808753967,0.8049
34,0.18686315144381915,0.4879609408569336,0.83494,1.0507343334197998,0.6806
35,0.1860742027003944,0.48901160268783567,0.83306,0.7973332090377807,0.7516
36,0.18526401643540927,0.4874312168121338,0.8337,0.6169482834815979,0.7942
37,0.18443279255020156,0.4853156526184082,0.8363,0.6626572213172912,0.7777
38,0.1835807361368271,0.4801401895904541,0.83796,0.7988736728668213,0.7348
39,0.18270805742745624,0.47887944582939146,0.8391,0.6590382751464844,0.7855
40,0.1818149717425024,0.4782277187919617,0.83948,0.7905316392898559,0.7525
41,0.18090169943749482,0.47351257904052735,0.83964,0.768769340133667,0.7541
42,0.17996846584870915,0.4681280779838562,0.8405,1.6638814628601075,0.6032
43,0.1790155012375691,0.47215199501037597,0.84034,0.7138297471523285,0.7656
44,0.17804304073383306,0.4694798861694336,0.83886,0.8698919088363647,0.7306
45,0.17705132427757903,0.4644357497406006,0.84204,0.6384648615837097,0.7884
46,0.1760405965600032,0.4675689842891693,0.84172,0.6183608856201172,0.7927
47,0.17501110696304606,0.45641429485321044,0.84502,0.855486177110672,0.7201
48,0.17396310949786103,0.46136798974990845,0.84404,0.7077334123611451,0.7828
49,0.17289686274214122,0.4512095829296112,0.847,0.967643801689148,0.7246
50,0.17181262977631895,0.4562682604598999,0.84664,0.6054032807350158,0.7996
51,0.1707106781186548,0.4549284941673279,0.84446,0.582504187965393,0.8046
52,0.1695912796592315,0.44705254386901855,0.84814,0.9338341516494751,0.7124
53,0.16845471059286893,0.45135429085731504,0.84498,0.5396839587211609,0.8135
54,0.16730125135097737,0.4435477482032776,0.84914,0.6923880187034607,0.7818
55,0.16613118653236522,0.44279250366210937,0.85036,0.5988467124462128,0.8072
56,0.1649448048330184,0.4435848153781891,0.84932,0.5980963822364808,0.8034
57,0.163742398974869,0.44223639504432677,0.85202,0.728944933128357,0.7596
58,0.16252426563357056,0.4347714365196228,0.85188,0.6301421282768249,0.7911
59,0.1612907053652977,0.4316091846847534,0.85394,0.7132004462957382,0.7622
60,0.16004202253258842,0.4349194262313843,0.85004,0.8271587219238281,0.7334
61,0.15877852522924735,0.4285809320259094,0.85384,0.6315962218284606,0.792
62,0.1575005252043279,0.43115650480270384,0.85414,0.6022078015327453,0.8059
63,0.15620833778521312,0.4278616031169891,0.85424,0.9204939617156982,0.7268
64,0.15490228179981322,0.42427952978134154,0.85694,0.6351776626586914,0.7936
65,0.1535826794978997,0.4262646865463257,0.85508,0.6900248937606811,0.7759
66,0.15224985647159492,0.41831454714775085,0.85814,0.546711366224289,0.821
67,0.15090414157503718,0.4221434966850281,0.8562,0.6395727020263672,0.8024
68,0.1495458668432408,0.4152066810798645,0.8594,0.4940320617198944,0.8335
69,0.14817536741017157,0.41184486340522763,0.86058,0.6018113540649415,0.8101
70,0.1467929814260574,0.41245671045303345,0.85828,0.5872914500236511,0.8018
71,0.14539904997395472,0.41289895059585574,0.85858,0.7723972270965577,0.7539
72,0.14399391698559155,0.40279462450027465,0.8647,0.5247510208129883,0.8262
73,0.14257792915650733,0.4010315215969086,0.8634,0.6124601814746856,0.7981
74,0.14115143586051096,0.3973411379814148,0.8657,0.5319164502143859,0.8179
75,0.13971478906347812,0.39898337904930115,0.86406,0.596143504333496,0.8069
76,0.13826834323650905,0.398757813873291,0.86328,0.845796750164032,0.7377
77,0.1368124552684679,0.3923502736663818,0.86602,0.6662200429439544,0.7828
78,0.1353474843779258,0.3924247633552551,0.86744,0.563123760509491,0.814
79,0.13387379202452923,0.38977810792922973,0.86778,0.5266858998775482,0.8253
80,0.13239174181981503,0.38994993984222415,0.86802,0.6061955896377563,0.7975
81,0.13090169943749483,0.3800418679714203,0.86914,0.6657413372993469,0.7883
82,0.1294040325232305,0.37784030108451844,0.8716,0.6683852643966675,0.793
83,0.12789911060392303,0.3804012490749359,0.8716,0.5008973528862,0.8336
84,0.12638730499653736,0.3776194813632965,0.87214,0.4794571462631226,0.8399
85,0.12486898871648554,0.3747137528991699,0.87224,0.4924558690071106,0.8354
86,0.12334453638559063,0.36763286373138426,0.8756,0.4732649358034134,0.8402
87,0.12181432413965436,0.37020338598251346,0.8755,0.589340347957611,0.802
88,0.12027872953565136,0.3623485704803467,0.87646,0.6673546622276306,0.7947
89,0.11873813145857258,0.3600653338050842,0.878,0.6784913362503052,0.7942
90,0.11719291002794104,0.3552224851226807,0.88074,0.45075055165290834,0.8526
91,0.11564344650402318,0.349523363199234,0.88144,0.4736190793991089,0.8478
92,0.11409012319375837,0.34969386956214904,0.88096,0.5419145978927612,0.8277
93,0.11253332335643053,0.3469757935714722,0.88158,0.4294948686480522,0.8554
94,0.11097343110910461,0.3511895561122894,0.88158,0.9848781938552856,0.7358
95,0.1094108313318515,0.3384280955123901,0.88538,0.5098502408027649,0.8361
96,0.10784590957278457,0.339052838306427,0.88358,0.5162453987121582,0.8305
97,0.10627905195293141,0.3359373040485382,0.88548,0.4284875478744507,0.8546
98,0.10471064507096432,0.33054944065093994,0.8882,0.7310798906803131,0.787
99,0.10314107590781289,0.3344351423740387,0.88774,0.5246158103466034,0.8309
100,0.10157073173118213,0.3274747045612335,0.88702,0.5289678447723388,0.8268
101,0.10000000000000005,0.32085315489768984,0.89018,0.5684222134590149,0.829
102,0.098429268268818,0.325318386592865,0.88928,0.4490507616996765,0.8528
103,0.09685892409218722,0.31708658519744876,0.89274,0.5909652393341065,0.8152
104,0.09528935492903579,0.31176544984817506,0.89394,0.7643060013771057,0.7752
105,0.09372094804706871,0.3082789240932465,0.89548,0.4872729293346405,0.8387
106,0.09215409042721556,0.3082749484682083,0.89506,0.4456589829444885,0.8513
107,0.09058916866814862,0.30393197281837464,0.89816,0.4201425869941711,0.862
108,0.08902656889089552,0.30021958045959474,0.89734,0.48585549125671385,0.8427
109,0.08746667664356964,0.2964519941520691,0.89856,0.4238955276489258,0.8554
110,0.0859098768062418,0.2937746324491501,0.89996,0.37590972900390623,0.8754
111,0.08435655349597697,0.28808362106323243,0.90166,0.46685819479227064,0.8488
112,0.08280708997205909,0.28254675159454345,0.9032,0.41722530274391173,0.8605
113,0.0812618685414276,0.2856709399986267,0.90172,0.4175948573589325,0.8608
114,0.07972127046434882,0.27912862391471865,0.90472,0.500951055765152,0.8382
115,0.07818567586034583,0.281701443400383,0.90092,0.4460815938949585,0.8526
116,0.0766554636144095,0.26847805073738096,0.90846,0.44082153520584105,0.8546
117,0.07513101128351457,0.2667402809524536,0.90954,0.40700462238788604,0.8618
118,0.07361269500346276,0.2590853973340988,0.91222,0.5160283298492432,0.8439
119,0.07210088939607713,0.25795771055221556,0.91162,0.5337399723052979,0.8275
120,0.07059596747676966,0.2555727933883667,0.91348,0.47425737257003786,0.8429
121,0.06909830056250534,0.25112828828573225,0.91476,0.6692952603340149,0.7937
122,0.0676082581801851,0.2462143128299713,0.91538,0.49274038095474243,0.8394
123,0.0661262079754709,0.24269894229412078,0.91842,0.3641264214038849,0.8837
124,0.06465251562207434,0.24418350233078004,0.91728,0.37811189053058625,0.8755
125,0.06318754473153226,0.2361737244129181,0.91898,0.6274231380462646,0.8053
126,0.061731656763491086,0.22993283272743226,0.92126,0.42922282409667967,0.8641
127,0.06028521093652196,0.22356444962978364,0.92342,0.40723767786026,0.8704
128,0.05884856413948916,0.22257255158424377,0.92412,0.3801574848175049,0.8772
129,0.057422070843492774,0.21732265962600708,0.92538,0.36571255311965944,0.8841
130,0.05600608301440852,0.21572188177108764,0.9263,0.35762330684661864,0.8829
131,0.05460095002604536,0.21447209080696106,0.92686,0.3559630755007267,0.883
132,0.053207018573942715,0.20588511258602143,0.93088,0.4915019437789917,0.8403
133,0.05182463258982849,0.20439664935827256,0.93054,0.34554695978164673,0.8871
134,0.050454133156759264,0.19500101713180543,0.93294,0.3138857874512672,0.8961
135,0.04909585842496289,0.1921936098909378,0.9342,0.30082653312683105,0.8983
136,0.04775014352840514,0.18992212190628052,0.93474,0.2992575877189636,0.904
137,0.04641732050210033,0.17879758823156358,0.93828,0.3762627337217331,0.8821
138,0.04509771820018683,0.1827958243608475,0.9366,0.3644379956245422,0.8831
139,0.04379166221478695,0.17474599891662598,0.94124,0.318494793343544,0.899
140,0.04249947479567216,0.17272923126220704,0.94004,0.3463434097647667,0.8922
141,0.04122147477075272,0.1629820261859894,0.94318,0.31530212078094483,0.8957
142,0.03995797746741163,0.1664984237098694,0.94232,0.3295307213783264,0.894
143,0.03870929463470236,0.1524463670873642,0.94832,0.3275254621505737,0.8961
144,0.037475734366429495,0.15379590022563935,0.94832,0.31709279849529265,0.8949
145,0.03625760102513104,0.14341826090812684,0.95126,0.27798884167671206,0.9117
146,0.035055195166981655,0.14178417289733886,0.95118,0.36067225456237795,0.8895
147,0.03386881346763484,0.13717399838447572,0.95262,0.2953975517272949,0.9081
148,0.03269874864902267,0.1290407911682129,0.95532,0.30545128355026246,0.9039
149,0.03154528940713114,0.1291858192372322,0.95566,0.30618869564533235,0.9018
150,0.03040872034076858,0.12231583878517151,0.95778,0.3030203046798706,0.907
151,0.029289321881345264,0.11589810160636901,0.95972,0.3248427766084671,0.9028
152,0.02818737022368114,0.10829352761030198,0.96368,0.28202730975151064,0.9105
153,0.027103137257858876,0.11149836402177811,0.96092,0.28860954484939577,0.9103
154,0.026036890502139032,0.10353533975362778,0.96466,0.4004430845201015,0.8857
155,0.024988893036954053,0.09435558130502701,0.96774,0.2853914972782135,0.9117
156,0.023959403439996918,0.0934955898475647,0.96844,0.25589949407577517,0.9226
157,0.022948675722421097,0.0897224659049511,0.96994,0.26328273359537124,0.9212
158,0.021956959266167052,0.08772890546798706,0.96968,0.2585262132167816,0.9224
159,0.020984498762430966,0.0734619696176052,0.97534,0.32504192543029786,0.909
160,0.02003153415129095,0.07818708688139915,0.9737,0.249596013712883,0.9245
161,0.019098300562505274,0.0669729103088379,0.97814,0.284659766292572,0.9188
162,0.01818502825749768,0.06523912070274353,0.978,0.25737295432090757,0.9249
163,0.017291942572543836,0.06209856091141701,0.97894,0.25834797933101655,0.9232
164,0.016419263863173002,0.05901082422018051,0.98008,0.26054401297569274,0.9253
165,0.015567207449798521,0.05207135826349259,0.98276,0.24890847707986832,0.9282
166,0.014735983564590811,0.04451622706949711,0.98558,0.2778339910745621,0.9199
167,0.01392579729960563,0.045005804146528244,0.98506,0.24954376240074636,0.9306
168,0.013136848556180875,0.0404725497841835,0.98756,0.24320469841957093,0.9324
169,0.012369331995613648,0.0330145043516159,0.98912,0.2453616451263428,0.9323
170,0.01162343699113066,0.03202751708030701,0.98984,0.2534628196239471,0.9291
171,0.010899347581163227,0.0244091238284111,0.9928,0.2516471224308014,0.9331
172,0.010197242423938453,0.023261411141753195,0.99298,0.24840085430145264,0.935
173,0.00951729475339807,0.0201053758084774,0.99402,0.23788083760738374,0.938
174,0.0088596723364555,0.01750176547050476,0.99508,0.2315871353328228,0.9374
175,0.008224537431601914,0.016005376602113246,0.99552,0.21386267688274382,0.9417
176,0.007612046748871354,0.011369847733676433,0.99708,0.20191180081367494,0.9458
177,0.00702235141117487,0.010567828331291676,0.99726,0.21397757894992828,0.9411
178,0.006455596917013267,0.0075476664469391105,0.99828,0.20421340958625078,0.9448
179,0.005911923104577458,0.007855802305713295,0.9981,0.1991540319919586,0.9456
180,0.005391464117245473,0.005819340850561857,0.99884,0.19652196526527405,0.9485
181,0.00489434837048465,0.005355125889927149,0.99906,0.1939286910533905,0.9471
182,0.004420698520166991,0.004173799209445715,0.99924,0.18637731838226318,0.9511
183,0.003970631432305707,0.0037892732162773607,0.99928,0.1833744199514389,0.9507
184,0.003544258154220206,0.002684290958493948,0.99984,0.1787072887301445,0.9517
185,0.0031416838871369058,0.003323663612008095,0.99944,0.17730854454040526,0.9519
186,0.0027630079602323464,0.002769723055958748,0.99968,0.1819356246471405,0.95
187,0.0024083238061252694,0.0028309538055211305,0.9996,0.1791044600725174,0.952
188,0.0020777189378234154,0.0027030040971934796,0.99972,0.1782319361448288,0.9513
189,0.001771274927131129,0.002298808432519436,0.99984,0.1799421515226364,0.9521
190,0.001489067384522614,0.0022744723331928254,0.99986,0.17780498106479645,0.9521
191,0.0012311659404862349,0.0024598651561141016,0.9998,0.17705244657993316,0.9517
192,0.000997634228344247,0.002315265050828457,0.99978,0.17643597159385682,0.9518
193,0.0007885298685522241,0.0022826167723536493,0.99982,0.17577745099067688,0.9517
194,0.0006039044544820409,0.0025020073330402374,0.9998,0.17557216982841492,0.952
195,0.0004438035396920007,0.002128965979851782,0.99984,0.1755743858575821,0.952
196,0.00030826662668720383,0.002099069636464119,0.99988,0.17589349734783172,0.9519
197,0.00019732715717284425,0.002079268874041736,0.99992,0.17470481021404266,0.9523
198,0.00011101250380300973,0.0021674412868916988,0.99982,0.1747704155921936,0.952
199,4.9343963426840034e-05,0.002034829166084528,0.99986,0.17559170768260957,0.9524
200,1.2336751833941238e-05,0.0021627405232191085,0.99986,0.17595052835941316,0.9518
