epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4394,0.3806,nan,nan,nan
1,0.6347,0.59,nan,nan,nan
2,0.7394,0.7006,nan,nan,nan
3,0.7935,0.7518,nan,nan,nan
4,0.8247,0.7833,nan,nan,nan
5,0.8393,0.7969,nan,nan,nan
6,0.8516,0.8172,nan,nan,nan
7,0.8698,0.835,nan,nan,nan
8,0.8682,0.8412,nan,nan,nan
9,0.8776,0.8499,nan,nan,nan
10,0.8809,0.8606,nan,nan,nan
11,0.8874,0.8604,nan,nan,nan
12,0.8872,0.8635,nan,nan,nan
13,0.8904,0.87,nan,nan,nan
14,0.8904,0.8714,nan,nan,nan
15,0.8957,0.8735,nan,nan,nan
16,0.8984,0.8787,nan,nan,nan
17,0.8983,0.8743,nan,nan,nan
18,0.8975,0.8782,nan,nan,nan
19,0.8969,0.8789,nan,nan,nan
20,0.9029,0.8878,nan,nan,nan
22,0.9026,0.8817,nan,nan,nan
24,0.9023,0.8872,nan,nan,nan
26,0.9031,0.8845,nan,nan,nan
28,0.9095,0.8956,nan,nan,nan
30,0.9126,0.9009,nan,nan,nan
35,0.9147,0.9037,nan,nan,nan
40,0.9162,0.9041,nan,nan,nan
45,0.9138,0.9069,nan,nan,nan
50,0.9157,0.9066,nan,nan,nan
60,0.9159,0.9056,nan,nan,nan
70,0.9206,0.9136,nan,nan,nan
80,0.9145,0.904,nan,nan,nan
90,0.9248,0.9178,nan,nan,nan
100,0.9258,0.9204,nan,nan,nan
110,0.9247,0.9192,nan,nan,nan
120,0.9264,0.9227,nan,nan,nan
130,0.9347,0.9307,nan,nan,nan
135,0.9325,0.9298,nan,nan,nan
140,0.9343,0.9315,nan,nan,nan
145,0.9393,0.936,nan,nan,nan
150,0.9396,0.9401,nan,nan,nan
155,0.9459,0.9441,nan,nan,nan
160,0.9475,0.9464,nan,nan,nan
165,0.9487,0.9485,nan,nan,nan
170,0.9507,0.9512,nan,nan,nan
175,0.9526,0.9518,nan,nan,nan
180,0.953,0.9534,nan,nan,nan
185,0.954,0.9536,nan,nan,nan
190,0.954,0.9537,nan,nan,nan
195,0.9537,0.9542,nan,nan,nan
200,0.9548,0.9543,nan,nan,nan
