epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.442,0.3846,0.3862,0.3791,nan
1,0.5282,0.4949,0.485,0.5017,nan
2,0.6236,0.5846,0.5943,0.5953,nan
3,0.6978,0.6626,0.6783,0.6773,nan
4,0.7492,0.7133,0.7325,0.7298,nan
5,0.7992,0.7641,0.7866,0.7836,nan
6,0.8269,0.7867,0.814,0.8129,nan
7,0.8362,0.8008,0.8252,0.8235,nan
8,0.8466,0.8119,0.8307,0.8325,nan
9,0.8482,0.8184,0.8397,0.8378,nan
10,0.8542,0.8268,0.8399,0.8367,nan
11,0.8594,0.8364,0.8445,0.8478,nan
12,0.8713,0.8432,0.8521,0.8535,nan
13,0.8663,0.8367,0.8482,0.8487,nan
14,0.8722,0.8478,0.8571,0.8609,nan
15,0.8673,0.845,0.854,0.8542,nan
16,0.8733,0.8504,0.86,0.8596,nan
17,0.8828,0.8542,0.8718,0.8698,nan
18,0.878,0.8511,0.8672,0.8698,nan
19,0.8805,0.855,0.8632,0.8699,nan
20,0.8846,0.8616,0.8648,0.8667,nan
22,0.8834,0.8582,0.8658,0.8641,nan
24,0.8823,0.8578,0.8676,0.8682,nan
26,0.8911,0.8666,0.8771,0.878,nan
28,0.8915,0.8703,0.8765,0.8777,nan
30,0.8789,0.8579,0.8591,0.8629,nan
35,0.8964,0.8773,0.882,0.8831,nan
40,0.8866,0.8702,0.8691,0.8683,nan
45,0.8945,0.8739,0.8797,0.8802,nan
50,0.9007,0.8794,0.885,0.8833,nan
60,0.8989,0.8821,0.8869,0.8869,nan
70,0.9083,0.8932,0.9011,0.9026,nan
80,0.9128,0.8998,0.9039,0.9046,nan
90,0.9183,0.9058,0.9103,0.9124,nan
100,0.917,0.9084,0.904,0.9063,nan
110,0.9216,0.9112,0.9149,0.9149,nan
120,0.9264,0.9166,0.9176,0.9174,nan
130,0.9291,0.9236,0.9244,0.9267,nan
140,0.9313,0.9274,0.9283,0.9279,nan
150,0.9319,0.9296,0.9288,0.9297,nan
160,0.9415,0.9414,0.9406,0.9427,nan
170,0.948,0.9484,0.9476,0.9486,nan
180,0.9534,0.9537,0.9532,0.9527,nan
190,0.9545,0.9542,0.955,0.9543,nan
200,0.9551,0.9545,0.955,0.9546,nan
