epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.162667,0.837333,0
1,2,2040,0.64203,0.35797,0
2,3,2040,0.798374,0.201626,0
3,4,2040,0.760821,0.239179,0
4,5,2040,0.839934,0.160066,0
5,6,2040,0.879885,0.120115,0
6,7,2040,0.874374,0.125626,0
7,8,2040,0.837506,0.162494,0
8,9,2040,0.848019,0.151981,0
9,10,2040,0.810367,0.189633,0
10,11,2040,0.792174,0.207826,0
11,12,2040,0.821267,0.178733,0
12,13,2040,0.767955,0.232045,0
13,14,2040,0.859966,0.140034,0
14,15,2040,0.809236,0.190764,0
15,16,2040,0.787075,0.212925,0
16,17,2040,0.787701,0.212299,0
17,18,2040,0.850788,0.149212,0
18,19,2040,0.820389,0.179611,0
19,20,2040,0.8133,0.1867,0
20,22,2040,0.78966,0.21034,0
22,24,2040,0.840714,0.159286,0
24,26,2040,0.823052,0.176948,0
26,28,2040,0.825387,0.174613,0
28,30,2040,0.743866,0.256134,0
30,35,2040,0.722651,0.277349,0
35,40,2040,0.736606,0.263394,0
40,45,2040,0.752108,0.247892,0
45,50,2040,0.814143,0.185857,0
50,60,2040,0.766625,0.233375,0
60,70,2040,0.832012,0.167988,0
70,80,2040,0.793464,0.206536,0
80,90,2040,0.851132,0.148868,0
90,100,2040,0.836737,0.163263,0
100,110,2040,0.843684,0.156316,0
110,120,2040,0.865636,0.134364,0
120,130,2040,0.853961,0.146039,0
130,140,2040,0.865398,0.134602,0
140,150,2040,0.876983,0.123017,0
150,160,2040,0.905288,0.094712,0
160,170,2040,0.939419,0.060581,0
170,180,2040,0.983627,0.016373,1
180,190,2040,0.997066,0.002934,1
190,200,2040,0.999187,0.000813,1
