epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.066138,0.095241,0
1,2040,0.837333,0.312404,0.410783,0
2,2040,0.35797,0.467335,0.588878,0
3,2040,0.201626,0.514278,0.641022,0
4,2040,0.239179,0.571599,0.680339,0
5,2040,0.160066,0.6348,0.748666,0
6,2040,0.120115,0.662498,0.765259,0
7,2040,0.125626,0.671995,0.773393,0
8,2040,0.162494,0.674509,0.751531,0
9,2040,0.151981,0.702953,0.78746,0
10,2040,0.189633,0.636162,0.718598,0
11,2040,0.207826,0.701194,0.777083,0
12,2040,0.178733,0.709127,0.772924,0
13,2040,0.232045,0.683054,0.755358,0
14,2040,0.140034,0.694333,0.758381,0
15,2040,0.190764,0.683205,0.745299,0
16,2040,0.212925,0.719106,0.773495,0
17,2040,0.212299,0.715019,0.774507,0
18,2040,0.149212,0.732413,0.783318,0
19,2040,0.179611,0.732594,0.774253,0
20,2040,0.1867,0.705551,0.760659,0
22,2040,0.21034,0.718521,0.769547,0
24,2040,0.159286,0.721484,0.76357,0
26,2040,0.176948,0.738497,0.771103,0
28,2040,0.174613,0.747438,0.782559,0
30,2040,0.256134,0.673001,0.708116,0
35,2040,0.277349,0.73572,0.769106,0
40,2040,0.263394,0.70125,0.73371,0
45,2040,0.247892,0.756986,0.789,0
50,2040,0.185857,0.744575,0.760314,0
60,2040,0.233375,0.767005,0.791932,0
70,2040,0.167988,0.786577,0.800585,0
80,2040,0.206536,0.774901,0.790003,0
90,2040,0.148868,0.799034,0.806999,0
100,2040,0.163263,0.809376,0.811982,0
110,2040,0.156316,0.847552,0.848887,0
120,2040,0.134364,0.84563,0.843726,0
130,2040,0.146039,0.874844,0.870089,0
140,2040,0.134602,0.887998,0.884292,0
150,2040,0.123017,0.907418,0.907176,0
160,2040,0.094712,0.94195,0.94165,0
170,2040,0.060581,0.983045,0.983132,0
180,2040,0.016373,0.997657,0.997362,1
190,2040,0.002934,0.999187,0.999187,1
200,2040,0.000813,1.0,nan,1
