epoch_a,epoch_b,n_samples,cka_value
6,16,2040,0.811933
6,17,2040,0.827743
6,18,2040,0.812557
6,19,2040,0.814182
6,20,2040,0.812719
6,22,2040,0.786106
6,24,2040,0.798782
6,26,2040,0.79716
6,28,2040,0.801003
6,30,2040,0.730201
6,35,2040,0.745304
6,40,2040,0.772933
6,45,2040,0.799926
6,50,2040,0.746153
6,60,2040,0.781421
6,70,2040,0.762486
6,80,2040,0.777678
6,90,2040,0.775985
6,100,2040,0.758726
6,110,2040,0.751953
6,120,2040,0.714429
6,130,2040,0.68104
6,140,2040,0.683438
6,150,2040,0.659139
6,160,2040,0.647231
6,170,2040,0.649024
6,180,2040,0.656835
6,190,2040,0.659227
6,200,2040,0.662498
7,7,2040,1.0
7,8,2040,0.837506
7,9,2040,0.881684
7,10,2040,0.840191
7,11,2040,0.874633
7,12,2040,0.828774
7,13,2040,0.827002
7,14,2040,0.832843
7,15,2040,0.860821
7,16,2040,0.809433
7,17,2040,0.814743
7,18,2040,0.805008
7,19,2040,0.788503
7,20,2040,0.813792
7,22,2040,0.826222
7,24,2040,0.829896
7,26,2040,0.788745
7,28,2040,0.778882
7,30,2040,0.76436
7,35,2040,0.741941
7,40,2040,0.751281
7,45,2040,0.816317
7,50,2040,0.802944
7,60,2040,0.768987
7,70,2040,0.776902
7,80,2040,0.777577
7,90,2040,0.761785
7,100,2040,0.76542
7,110,2040,0.762992
7,120,2040,0.723362
7,130,2040,0.680017
7,140,2040,0.70968
7,150,2040,0.658071
7,160,2040,0.65054
7,170,2040,0.65774
7,180,2040,0.668541
7,190,2040,0.666397
7,200,2040,0.671995
8,8,2040,1.0
8,9,2040,0.848019
8,10,2040,0.748652
8,11,2040,0.808471
8,12,2040,0.785214
8,13,2040,0.779053
8,14,2040,0.813492
8,15,2040,0.792017
8,16,2040,0.796753
8,17,2040,0.771841
8,18,2040,0.798053
8,19,2040,0.781292
8,20,2040,0.807
8,22,2040,0.818642
8,24,2040,0.786441
8,26,2040,0.782177
8,28,2040,0.783531
8,30,2040,0.689973
8,35,2040,0.761381
8,40,2040,0.758047
8,45,2040,0.758871
8,50,2040,0.726994
8,60,2040,0.754786
8,70,2040,0.747623
8,80,2040,0.783033
8,90,2040,0.748613
8,100,2040,0.757549
8,110,2040,0.760512
8,120,2040,0.707553
8,130,2040,0.681457
8,140,2040,0.699754
8,150,2040,0.673065
8,160,2040,0.663558
8,170,2040,0.662464
8,180,2040,0.670378
8,190,2040,0.674345
8,200,2040,0.674509
9,9,2040,1.0
9,10,2040,0.810367
9,11,2040,0.860898
9,12,2040,0.828112
9,13,2040,0.836075
9,14,2040,0.839497
9,15,2040,0.833021
9,16,2040,0.831033
9,17,2040,0.848032
9,18,2040,0.84008
9,19,2040,0.816913
9,20,2040,0.82879
9,22,2040,0.833314
9,24,2040,0.832714
9,26,2040,0.820987
9,28,2040,0.821814
9,30,2040,0.759948
9,35,2040,0.764752
9,40,2040,0.787727
9,45,2040,0.82362
9,50,2040,0.793305
9,60,2040,0.794779
9,70,2040,0.789199
9,80,2040,0.814732
9,90,2040,0.798897
9,100,2040,0.80334
9,110,2040,0.77743
9,120,2040,0.747929
9,130,2040,0.729199
9,140,2040,0.726072
9,150,2040,0.691055
9,160,2040,0.685623
9,170,2040,0.690474
9,180,2040,0.698774
9,190,2040,0.699657
9,200,2040,0.702953
10,10,2040,1.0
10,11,2040,0.792174
10,12,2040,0.799667
10,13,2040,0.72699
10,14,2040,0.732047
10,15,2040,0.812604
10,16,2040,0.724201
10,17,2040,0.823926
10,18,2040,0.763078
10,19,2040,0.729317
10,20,2040,0.717712
10,22,2040,0.77917
10,24,2040,0.763382
10,26,2040,0.716677
10,28,2040,0.733686
10,30,2040,0.815977
10,35,2040,0.702834
10,40,2040,0.699192
10,45,2040,0.780177
10,50,2040,0.755774
10,60,2040,0.742343
10,70,2040,0.738984
10,80,2040,0.708273
10,90,2040,0.734994
10,100,2040,0.742679
10,110,2040,0.691004
10,120,2040,0.675898
10,130,2040,0.634119
10,140,2040,0.661511
10,150,2040,0.600368
10,160,2040,0.616353
10,170,2040,0.617365
10,180,2040,0.635659
10,190,2040,0.628023
10,200,2040,0.636162
11,11,2040,1.0
11,12,2040,0.821267
11,13,2040,0.828173
11,14,2040,0.81847
11,15,2040,0.842628
11,16,2040,0.816289
11,17,2040,0.812685
11,18,2040,0.804053
11,19,2040,0.83286
11,20,2040,0.810879
11,22,2040,0.828271
11,24,2040,0.841651
11,26,2040,0.816583
11,28,2040,0.810162
11,30,2040,0.788932
11,35,2040,0.78702
11,40,2040,0.709691
11,45,2040,0.816818
11,50,2040,0.828188
11,60,2040,0.79192
11,70,2040,0.804981
11,80,2040,0.772268
11,90,2040,0.759363
11,100,2040,0.773054
11,110,2040,0.775913
11,120,2040,0.751747
11,130,2040,0.714645
11,140,2040,0.735829
11,150,2040,0.685332
11,160,2040,0.679372
11,170,2040,0.689349
11,180,2040,0.696728
11,190,2040,0.697411
11,200,2040,0.701194
12,12,2040,1.0
12,13,2040,0.767955
12,14,2040,0.784425
12,15,2040,0.783197
12,16,2040,0.791355
12,17,2040,0.845103
12,18,2040,0.82659
12,19,2040,0.828757
12,20,2040,0.795378
12,22,2040,0.796837
12,24,2040,0.794025
12,26,2040,0.807019
12,28,2040,0.822044
12,30,2040,0.772898
12,35,2040,0.789669
12,40,2040,0.765159
12,45,2040,0.838659
12,50,2040,0.786835
