epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.171212,0.828788,0
1,2,2040,0.769127,0.230873,0
2,3,2040,0.83952,0.16048,0
3,4,2040,0.753779,0.246221,0
4,5,2040,0.7606,0.2394,0
5,6,2040,0.728211,0.271789,0
6,7,2040,0.75061,0.24939,0
7,8,2040,0.836475,0.163525,0
8,9,2040,0.774611,0.225389,0
9,10,2040,0.769399,0.230601,0
10,11,2040,0.656225,0.343775,0
11,12,2040,0.660516,0.339484,0
12,13,2040,0.728512,0.271488,0
13,14,2040,0.743277,0.256723,0
14,15,2040,0.656534,0.343466,0
15,16,2040,0.773344,0.226656,0
16,17,2040,0.729787,0.270213,0
17,18,2040,0.729506,0.270494,0
18,19,2040,0.782019,0.217981,0
19,20,2040,0.830601,0.169399,0
20,22,2040,0.810571,0.189429,0
22,24,2040,0.776857,0.223143,0
24,26,2040,0.794538,0.205462,0
26,28,2040,0.837141,0.162859,0
28,30,2040,0.715212,0.284788,0
30,35,2040,0.709471,0.290529,0
35,40,2040,0.795532,0.204468,0
40,45,2040,0.754882,0.245118,0
45,50,2040,0.70446,0.29554,0
50,60,2040,0.704126,0.295874,0
60,70,2040,0.711872,0.288128,0
70,80,2040,0.785055,0.214945,0
80,90,2040,0.780153,0.219847,0
90,100,2040,0.777641,0.222359,0
100,110,2040,0.774175,0.225825,0
110,120,2040,0.794333,0.205667,0
120,130,2040,0.841036,0.158964,0
130,140,2040,0.839153,0.160847,0
140,150,2040,0.868941,0.131059,0
150,160,2040,0.853555,0.146445,0
160,170,2040,0.87772,0.12228,0
170,180,2040,0.940537,0.059463,0
180,190,2040,0.985094,0.014906,1
190,200,2040,0.99871,0.00129,1
