epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
22,rbf_svm,0.9438,0.8912,10000,10000,1.232,ok,
22,random_forest,1.0,0.8896,50000,10000,4.069,ok,
24,logistic_regression,0.9614,0.9011,50000,10000,16.696,ok,
24,linear_svm,0.9911,0.8884,10000,10000,10.377,ok,
24,rbf_svm,0.9407,0.8898,10000,10000,1.388,ok,
24,random_forest,1.0,0.8897,50000,10000,4.082,ok,
26,logistic_regression,0.96616,0.9067,50000,10000,14.062,ok,
26,linear_svm,0.9938,0.893,10000,10000,9.385,ok,
26,rbf_svm,0.9455,0.8998,10000,10000,1.388,ok,
26,random_forest,1.0,0.901,50000,10000,4.122,ok,
28,logistic_regression,0.96884,0.9096,50000,10000,17.895,ok,
28,linear_svm,0.9945,0.8953,10000,10000,7.862,ok,
28,rbf_svm,0.9534,0.902,10000,10000,1.384,ok,
28,random_forest,1.0,0.9016,50000,10000,4.355,ok,
30,logistic_regression,0.96396,0.9045,50000,10000,16.741,ok,
30,linear_svm,0.9916,0.8862,10000,10000,9.48,ok,
30,rbf_svm,0.9448,0.8958,10000,10000,1.306,ok,
30,random_forest,1.0,0.8968,50000,10000,4.123,ok,
35,logistic_regression,0.97012,0.9101,50000,10000,13.118,ok,
35,linear_svm,0.9956,0.8967,10000,10000,8.141,ok,
35,rbf_svm,0.9528,0.9036,10000,10000,1.277,ok,
35,random_forest,1.0,0.9031,50000,10000,4.027,ok,
40,logistic_regression,0.97198,0.9097,50000,10000,17.246,ok,
40,linear_svm,0.9954,0.8962,10000,10000,7.482,ok,
40,rbf_svm,0.9575,0.9009,10000,10000,0.979,ok,
40,random_forest,1.0,0.9012,50000,10000,3.931,ok,
45,logistic_regression,0.97678,0.9182,50000,10000,19.23,ok,
45,linear_svm,0.9964,0.9099,10000,10000,5.783,ok,
45,rbf_svm,0.9602,0.9063,10000,10000,0.761,ok,
45,random_forest,1.0,0.9088,50000,10000,4.309,ok,
50,logistic_regression,0.9752,0.9147,50000,10000,13.988,ok,
50,linear_svm,0.9966,0.9034,10000,10000,8.169,ok,
50,rbf_svm,0.9579,0.903,10000,10000,1.035,ok,
50,random_forest,1.0,0.9049,50000,10000,4.174,ok,
60,logistic_regression,0.97634,0.9095,50000,10000,17.132,ok,
60,linear_svm,0.9951,0.8986,10000,10000,5.146,ok,
60,rbf_svm,0.9582,0.8999,10000,10000,0.937,ok,
60,random_forest,1.0,0.9009,50000,10000,3.971,ok,
70,logistic_regression,0.98094,0.9171,50000,10000,11.737,ok,
70,linear_svm,0.9981,0.9091,10000,10000,5.047,ok,
70,rbf_svm,0.9667,0.9115,10000,10000,0.845,ok,
70,random_forest,1.0,0.9128,50000,10000,4.426,ok,
80,logistic_regression,0.98352,0.9226,50000,10000,14.855,ok,
80,linear_svm,0.9976,0.912,10000,10000,5.932,ok,
80,rbf_svm,0.9701,0.9093,10000,10000,0.892,ok,
80,random_forest,1.0,0.9105,50000,10000,4.043,ok,
90,logistic_regression,0.98652,0.9209,50000,10000,13.442,ok,
90,linear_svm,0.9991,0.9114,10000,10000,6.69,ok,
90,rbf_svm,0.9727,0.9132,10000,10000,0.775,ok,
90,random_forest,1.0,0.9134,50000,10000,3.751,ok,
100,logistic_regression,0.9919,0.9257,50000,10000,8.333,ok,
100,linear_svm,0.9998,0.9204,10000,10000,4.755,ok,
100,rbf_svm,0.983,0.9184,10000,10000,0.601,ok,
100,random_forest,1.0,0.9213,50000,10000,3.877,ok,
110,logistic_regression,0.99212,0.9277,50000,10000,4.196,ok,
110,linear_svm,0.9997,0.9216,10000,10000,5.037,ok,
110,rbf_svm,0.9858,0.9223,10000,10000,0.706,ok,
110,random_forest,1.0,0.9244,50000,10000,3.535,ok,
120,logistic_regression,0.99574,0.9272,50000,10000,3.836,ok,
120,linear_svm,0.9999,0.9259,10000,10000,6.577,ok,
120,rbf_svm,0.9909,0.9275,10000,10000,0.495,ok,
120,random_forest,1.0,0.9263,50000,10000,3.701,ok,
130,logistic_regression,0.99602,0.9248,50000,10000,4.664,ok,
130,linear_svm,1.0,0.9222,10000,10000,5.269,ok,
130,rbf_svm,0.9942,0.9219,10000,10000,0.445,ok,
130,random_forest,1.0,0.9244,50000,10000,3.369,ok,
140,logistic_regression,0.99694,0.9368,50000,10000,1.072,ok,
140,linear_svm,1.0,0.9328,10000,10000,3.748,ok,
140,rbf_svm,0.997,0.9359,10000,10000,0.384,ok,
140,random_forest,1.0,0.9351,50000,10000,2.881,ok,
