epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.442,0.3846,0.3862,0.3791,nan
1,0.6475,0.6102,0.6285,0.6199,nan
2,0.7479,0.7017,0.7311,0.7284,nan
3,0.7995,0.7561,0.7862,0.7827,nan
4,0.826,0.7814,0.8112,0.8105,nan
5,0.8406,0.8017,0.8358,0.8321,nan
6,0.8529,0.817,0.8456,0.8463,nan
7,0.8616,0.8332,0.858,0.8587,nan
8,0.8717,0.8397,0.8638,0.8647,nan
9,0.8779,0.844,0.8665,0.8697,nan
10,0.8794,0.8547,0.8735,0.8738,nan
11,0.8791,0.855,0.8689,0.8695,nan
12,0.8834,0.8626,0.8778,0.878,nan
13,0.8818,0.8591,0.875,0.8741,nan
14,0.8907,0.8665,0.8794,0.8816,nan
15,0.8893,0.8663,0.8832,0.8825,nan
16,0.8955,0.8724,0.887,0.8868,nan
17,0.8922,0.8683,0.8789,0.8799,nan
18,0.8955,0.8759,0.8892,0.8904,nan
19,0.8944,0.8783,0.8854,0.8837,nan
20,0.8952,0.8768,0.8873,0.8883,nan
22,0.9005,0.8848,0.8912,0.8896,nan
24,0.9011,0.8884,0.8898,0.8897,nan
26,0.9067,0.893,0.8998,0.901,nan
28,0.9096,0.8953,0.902,0.9016,nan
30,0.9045,0.8862,0.8958,0.8968,nan
35,0.9101,0.8967,0.9036,0.9031,nan
40,0.9097,0.8962,0.9009,0.9012,nan
45,0.9182,0.9099,0.9063,0.9088,nan
50,0.9147,0.9034,0.903,0.9049,nan
60,0.9095,0.8986,0.8999,0.9009,nan
70,0.9171,0.9091,0.9115,0.9128,nan
80,0.9226,0.912,0.9093,0.9105,nan
90,0.9209,0.9114,0.9132,0.9134,nan
100,0.9257,0.9204,0.9184,0.9213,nan
110,0.9277,0.9216,0.9223,0.9244,nan
120,0.9272,0.9259,0.9275,0.9263,nan
130,0.9248,0.9222,0.9219,0.9244,nan
140,0.9368,0.9328,0.9359,0.9351,nan
150,0.943,0.9428,0.9438,0.9428,nan
160,0.9471,0.9463,0.947,0.9483,nan
170,0.9516,0.9508,0.9518,0.9514,nan
180,0.952,0.9514,0.9512,0.9533,nan
190,0.9509,0.9517,0.9516,0.9527,nan
200,0.9525,0.9519,0.953,0.9533,nan
