epoch,nc1_papyan,log10_nc1_papyan,nc2_etf_deviation,nc3_self_duality_frobenius,nc4_ncc_disagreement,nc1,log10_nc1,nc3_weight_mean_alignment,nc4_ncm_disagreement
0,51.15529063,1.708891,1.84561462,1.40685508,0.79182,51.15529063,1.708891,1.40685508,0.79182
1,5.48973817,0.739552,1.44519288,0.56010421,0.22846,5.48973817,0.739552,0.56010421,0.22846
2,2.08528854,0.319166,1.2844379,0.60094352,0.23148,2.08528854,0.319166,0.60094352,0.23148
3,1.50890951,0.178663,1.06144054,0.58857518,0.20598,1.50890951,0.178663,0.58857518,0.20598
4,0.91987255,-0.036272,0.96812393,0.54735811,0.12946,0.91987255,-0.036272,0.54735811,0.12946
5,0.87620247,-0.057396,0.87077743,0.51216456,0.10336,0.87620247,-0.057396,0.51216456,0.10336
6,0.85266735,-0.06922,0.96875996,0.62727491,0.15414,0.85266735,-0.06922,0.62727491,0.15414
7,0.65367467,-0.184638,0.80031241,0.54742868,0.12154,0.65367467,-0.184638,0.54742868,0.12154
8,0.62744664,-0.202423,0.94094509,0.53141265,0.12336,0.62744664,-0.202423,0.53141265,0.12336
9,0.57549166,-0.239961,0.83124663,0.53177622,0.10556,0.57549166,-0.239961,0.53177622,0.10556
10,0.54757013,-0.26156,0.70369995,0.48170458,0.0796,0.54757013,-0.26156,0.48170458,0.0796
11,0.54240383,-0.265677,0.75227432,0.53962883,0.12474,0.54240383,-0.265677,0.53962883,0.12474
12,0.45347586,-0.343446,0.66309411,0.44165886,0.06728,0.45347586,-0.343446,0.44165886,0.06728
13,0.47944856,-0.319258,0.63583081,0.48668907,0.08672,0.47944856,-0.319258,0.48668907,0.08672
14,0.48512269,-0.314148,0.71628548,0.49616094,0.15408,0.48512269,-0.314148,0.49616094,0.15408
15,0.46595026,-0.33166,0.87321933,0.46315393,0.07718,0.46595026,-0.33166,0.46315393,0.07718
16,0.4687074,-0.329098,0.74357114,0.46547575,0.111,0.4687074,-0.329098,0.46547575,0.111
17,0.4215644,-0.375136,0.62953425,0.44135802,0.08832,0.4215644,-0.375136,0.44135802,0.08832
18,0.41144429,-0.385689,0.72616931,0.4038373,0.06522,0.41144429,-0.385689,0.4038373,0.06522
19,0.41180945,-0.385304,0.69753621,0.39457772,0.04666,0.41180945,-0.385304,0.39457772,0.04666
20,0.3994271,-0.398562,0.61334066,0.385839,0.07676,0.3994271,-0.398562,0.385839,0.07676
22,0.36841977,-0.433657,0.58780059,0.35385781,0.05358,0.36841977,-0.433657,0.35385781,0.05358
24,0.36481083,-0.437932,0.62364721,0.32456252,0.04778,0.36481083,-0.437932,0.32456252,0.04778
26,0.38797624,-0.411195,0.68538005,0.40467229,0.10382,0.38797624,-0.411195,0.40467229,0.10382
28,0.44155594,-0.355014,0.6766835,0.37142325,0.08632,0.44155594,-0.355014,0.37142325,0.08632
30,0.34300853,-0.464695,0.59670408,0.33203801,0.04446,0.34300853,-0.464695,0.33203801,0.04446
35,0.33286216,-0.477736,0.53836967,0.31748187,0.03242,0.33286216,-0.477736,0.31748187,0.03242
40,0.34086108,-0.467423,0.52407033,0.33919294,0.06976,0.34086108,-0.467423,0.33919294,0.06976
45,0.30389049,-0.517283,0.48484595,0.27111341,0.04632,0.30389049,-0.517283,0.27111341,0.04632
50,0.30925019,-0.50969,0.57747865,0.30725285,0.03404,0.30925019,-0.50969,0.30725285,0.03404
60,0.27719364,-0.557217,0.56238425,0.27971772,0.0331,0.27719364,-0.557217,0.27971772,0.0331
70,0.28537019,-0.544591,0.427138,0.25850825,0.03132,0.28537019,-0.544591,0.25850825,0.03132
80,0.23111387,-0.636174,0.40237746,0.23331212,0.02754,0.23111387,-0.636174,0.23331212,0.02754
90,0.20570221,-0.686761,0.32556439,0.22590681,0.0197,0.20570221,-0.686761,0.22590681,0.0197
100,0.19729526,-0.704883,0.36531477,0.22860253,0.01556,0.19729526,-0.704883,0.22860253,0.01556
110,0.16072675,-0.793912,0.33210271,0.19917012,0.00962,0.16072675,-0.793912,0.19917012,0.00962
120,0.15667186,-0.805009,0.33953937,0.20408691,0.0062,0.15667186,-0.805009,0.20408691,0.0062
130,0.14334598,-0.843614,0.24216931,0.1989087,0.0061,0.14334598,-0.843614,0.1989087,0.0061
140,0.08449689,-1.073159,0.21675551,0.17280367,0.0012,0.08449689,-1.073159,0.17280367,0.0012
150,0.06735157,-1.171652,0.20349817,0.17535847,0.002,0.06735157,-1.171652,0.17535847,0.002
160,0.03445617,-1.462733,0.16807575,0.16037082,8e-05,0.03445617,-1.462733,0.16037082,8e-05
170,0.01862766,-1.729842,0.16935761,0.16093559,0.0,0.01862766,-1.729842,0.16093559,0.0
180,0.01500044,-1.823896,0.16909107,0.16267748,0.0,0.01500044,-1.823896,0.16267748,0.0
190,0.01376801,-1.861129,0.16967726,0.16447953,0.0,0.01376801,-1.861129,0.16447953,0.0
200,0.01361056,-1.866124,0.17121889,0.16382461,0.0,0.01361056,-1.866124,0.16382461,0.0
