epoch_prev,epoch_curr,n_samples,cka_value,local_cka_change,below_tau
0,1,2040,0.189058,0.810942,0
1,2,2040,0.703324,0.296676,0
2,3,2040,0.779763,0.220237,0
3,4,2040,0.808769,0.191231,0
4,5,2040,0.877098,0.122902,0
5,6,2040,0.779082,0.220918,0
6,7,2040,0.814751,0.185249,0
7,8,2040,0.864238,0.135762,0
8,9,2040,0.845557,0.154443,0
9,10,2040,0.86345,0.13655,0
10,11,2040,0.82752,0.17248,0
11,12,2040,0.816461,0.183539,0
12,13,2040,0.819841,0.180159,0
13,14,2040,0.820228,0.179772,0
14,15,2040,0.828549,0.171451,0
15,16,2040,0.850455,0.149545,0
16,17,2040,0.829273,0.170727,0
17,18,2040,0.852715,0.147285,0
18,19,2040,0.870424,0.129576,0
19,20,2040,0.86842,0.13158,0
20,22,2040,0.872812,0.127188,0
22,24,2040,0.844268,0.155732,0
24,26,2040,0.8247,0.1753,0
26,28,2040,0.801101,0.198899,0
28,30,2040,0.816035,0.183965,0
30,35,2040,0.861692,0.138308,0
35,40,2040,0.843451,0.156549,0
40,45,2040,0.803466,0.196534,0
45,50,2040,0.808547,0.191453,0
50,60,2040,0.828057,0.171943,0
60,70,2040,0.826076,0.173924,0
70,80,2040,0.814106,0.185894,0
80,90,2040,0.837717,0.162283,0
90,100,2040,0.85319,0.14681,0
100,110,2040,0.862805,0.137195,0
110,120,2040,0.87269,0.12731,0
120,130,2040,0.862362,0.137638,0
130,140,2040,0.88357,0.11643,0
140,150,2040,0.919846,0.080154,0
150,160,2040,0.936133,0.063867,0
160,170,2040,0.979546,0.020454,0
170,180,2040,0.995812,0.004188,1
180,190,2040,0.998452,0.001548,1
190,200,2040,0.999076,0.000924,1
