run,lr,seed,epoch,test_acc,test_nll,test_margin,head_acc_iter1,head_acc_iter3,head_acc_iter10
final_lr005_seed1,0.05,1,0,0.38382352941176473,1.8175367208507287,-0.5915262157598122,0.2774509803921569,0.3112745098039216,0.3235294117647059
final_lr005_seed1,0.05,1,1,0.6132352941176471,1.2324367912690952,0.8737555245025076,0.5735294117647058,0.5627450980392157,0.5848039215686275
final_lr005_seed1,0.05,1,2,0.6955882352941176,1.0144515704419572,2.471600314943832,0.5955882352941176,0.6946078431372549,0.682843137254902
final_lr005_seed1,0.05,1,3,0.7627450980392156,0.8480238746064357,3.990872641207943,0.7431372549019608,0.7754901960784314,0.740686274509804
final_lr005_seed1,0.05,1,4,0.792156862745098,0.8444569462114921,4.852126667783624,0.8049019607843138,0.807843137254902,0.7985294117647059
final_lr005_seed1,0.05,1,5,0.8117647058823529,0.7139066310102027,5.637602497961756,0.8220588235294117,0.8245098039215686,0.8240196078431372
final_lr005_seed1,0.05,1,6,0.8225490196078431,0.6706782275908566,5.817558345193406,0.8225490196078431,0.8308823529411765,0.8284313725490197
final_lr005_seed1,0.05,1,7,0.8519607843137255,0.561678840166276,6.672392479320928,0.8485294117647059,0.861764705882353,0.8602941176470589
final_lr005_seed1,0.05,1,8,0.8426470588235294,0.5891967183056482,6.283716131980678,0.8426470588235294,0.8475490196078431,0.8495098039215686
final_lr005_seed1,0.05,1,9,0.8539215686274509,0.5434885524433261,6.525865456705137,0.8504901960784313,0.8465686274509804,0.8568627450980392
final_lr005_seed1,0.05,1,10,0.8607843137254902,0.5055138112400528,7.224723601035545,0.8612745098039216,0.8651960784313726,0.875
final_lr005_seed1,0.05,1,11,0.865686274509804,0.5409240773977039,7.372941145833498,0.8544117647058823,0.8637254901960785,0.8666666666666667
final_lr005_seed1,0.05,1,12,0.8769607843137255,0.4982383868741395,7.799501268622956,0.875,0.8730392156862745,0.875
