epoch,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc
0,0.4418,0.3873,0.421,0.3947,nan
1,0.6579,0.6099,0.6383,0.6306,nan
2,0.7483,0.7053,0.7307,0.7248,nan
3,0.7998,0.753,0.7858,0.7816,nan
4,0.8254,0.786,0.8182,0.8183,nan
5,0.8405,0.8089,0.834,0.8335,nan
6,0.846,0.8133,0.8315,0.8296,nan
7,0.868,0.8351,0.8614,0.8613,nan
8,0.8635,0.8327,0.8508,0.8512,nan
9,0.8697,0.8427,0.8623,0.8628,nan
10,0.8788,0.8513,0.8706,0.869,nan
11,0.876,0.8567,0.8716,0.8721,nan
12,0.8851,0.8625,0.8814,0.8822,nan
13,0.89,0.8672,0.8819,0.8838,nan
14,0.892,0.8676,0.8858,0.8887,nan
15,0.895,0.8745,0.8832,0.8837,nan
16,0.8939,0.8733,0.8821,0.8826,nan
17,0.8986,0.877,0.8921,0.8934,nan
18,0.8954,0.8758,0.8833,0.8848,nan
19,0.8993,0.8807,0.8877,0.8912,nan
20,0.8984,0.8857,0.8906,0.8925,nan
22,0.9048,0.8853,0.8919,0.8942,nan
24,0.9079,0.8924,0.8981,0.9,nan
26,0.9038,0.8921,0.8913,0.8927,nan
28,0.8957,0.8829,0.8777,0.8798,nan
30,0.9065,0.894,0.8993,0.9008,nan
35,0.9109,0.901,0.9031,0.9053,nan
40,0.9154,0.8988,0.9006,0.9009,nan
45,0.9134,0.9049,0.9052,0.9077,nan
50,0.9124,0.9019,0.9015,0.901,nan
60,0.9181,0.9034,0.9072,0.9073,nan
70,0.9113,0.9012,0.8989,0.9017,nan
80,0.9209,0.9146,0.9103,0.9137,nan
90,0.9271,0.9204,0.9249,0.9247,nan
100,0.9233,0.918,0.9179,0.9173,nan
110,0.9298,0.9246,0.9245,0.9269,nan
120,0.9293,0.9249,0.9252,0.9253,nan
130,0.9246,0.9229,0.9224,0.9249,nan
140,0.933,0.9334,0.9341,0.9342,nan
150,0.9384,0.9392,0.9403,0.9408,nan
160,0.9447,0.9429,0.9443,0.9441,nan
170,0.9491,0.9485,0.9496,0.9499,nan
180,0.9517,0.951,0.9522,0.9516,nan
190,0.9515,0.9516,0.9509,0.9516,nan
200,0.9514,0.9512,0.9513,0.9512,nan
