epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.068451,0.093854,0
1,2040,0.829525,0.315626,0.429568,0
2,2040,0.279386,0.374405,0.490612,0
3,2040,0.200988,0.399715,0.503836,0
4,2040,0.366405,0.461705,0.569901,0
5,2040,0.236729,0.547008,0.649136,0
6,2040,0.304463,0.522965,0.621123,0
7,2040,0.340271,0.584196,0.690041,0
8,2040,0.306543,0.602949,0.711193,0
9,2040,0.239784,0.625819,0.720019,0
10,2040,0.290308,0.585058,0.670379,0
11,2040,0.281607,0.632928,0.745126,0
12,2040,0.201043,0.625528,0.735013,0
13,2040,0.280109,0.599726,0.676095,0
14,2040,0.284761,0.651016,0.723415,0
15,2040,0.236727,0.658519,0.747576,0
16,2040,0.253085,0.650326,0.728947,0
17,2040,0.20471,0.649536,0.737113,0
18,2040,0.281361,0.611982,0.705108,0
19,2040,0.260426,0.655756,0.74557,0
20,2040,0.207832,0.65731,0.727761,0
22,2040,0.20963,0.654331,0.733351,0
24,2040,0.20708,0.657214,0.720246,0
26,2040,0.267513,0.657054,0.723422,0
28,2040,0.215718,0.686163,0.754112,0
30,2040,0.219479,0.656165,0.734243,0
35,2040,0.23282,0.65682,0.729879,0
40,2040,0.282126,0.637618,0.693896,0
45,2040,0.290611,0.664428,0.723834,0
50,2040,0.223696,0.698457,0.749215,0
60,2040,0.164225,0.693762,0.749479,0
70,2040,0.280998,0.621926,0.665818,0
80,2040,0.289853,0.717677,0.763359,0
90,2040,0.142025,0.699003,0.735842,0
100,2040,0.174779,0.732765,0.755658,0
110,2040,0.228615,0.726938,0.751699,0
120,2040,0.202905,0.774432,0.791924,0
130,2040,0.164269,0.806988,0.815418,0
140,2040,0.169684,0.826445,0.831867,0
150,2040,0.149293,0.839169,0.839861,0
160,2040,0.141329,0.895593,0.892238,0
170,2040,0.109082,0.937505,0.936218,0
180,2040,0.066025,0.983927,0.984277,0
190,2040,0.015372,0.998503,0.998503,1
200,2040,0.001497,1.0,nan,1
