epoch,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included
0,nan,0.08431556,0.83669059,1647.19186958,0.0,1647191869580539.5,500,50,1
1,0.1508305,0.10954183,0.85052216,2.95213432,0.0,2952134320022.5347,500,50,1
2,0.08810686,0.09519122,0.85566485,5.22232944,0.0,5222329436470.592,500,50,1
3,0.08267044,0.15291418,0.83051652,8.0260701,0.0,8026070100743.368,500,50,1
4,0.1825327,0.16474389,0.79660144,10.45621349,0.0,10456213485546.07,500,50,1
5,0.10972664,0.109702,0.87710649,9.37964933,0.0,9379649326519.709,500,50,1
6,0.11869495,0.15356925,0.85233753,11.56650769,0.0,11566507690775.727,500,50,1
7,0.12891388,0.20915478,0.87024616,16.59781201,0.0,16597812013119.98,500,50,1
8,0.13624068,0.15308685,0.88469886,13.46779477,0.0,13467794772201.365,500,50,1
9,0.07289355,0.16320723,0.89374816,16.62146499,0.0,16621464994285.521,500,50,1
10,0.11070611,0.11142626,0.88074691,15.28586255,0.0,15285862552558.467,500,50,1
11,0.1494258,0.19620262,0.88338881,15.6081751,0.0,15608175100766.703,500,50,1
12,0.07495273,0.19699893,0.88346664,15.25764963,0.0,15257649626458.76,500,50,1
13,0.11061478,0.1804854,0.85800065,16.80254881,0.0,16802548806588.188,500,50,1
14,0.14456893,0.1086201,0.89816248,14.16336658,0.0,14163366579167.15,500,50,1
15,0.09716155,0.16252478,0.88841144,14.58749336,0.0,14587493358718.748,500,50,1
16,0.14552815,0.13234162,0.88275545,18.88699908,0.0,18886999082050.875,500,50,1
17,0.1078212,0.21912636,0.86942465,20.95773959,0.0,20957739586321.863,500,50,1
18,0.12520134,0.13408552,0.87987977,16.97089054,0.0,16970890537993.975,500,50,1
19,0.11631995,0.17850463,0.88589139,18.2443164,0.0,18244316400663.492,500,50,1
20,0.07606011,0.13594251,0.89586567,17.25647001,0.0,17256470012637.521,500,50,1
22,0.08274975,0.14441292,0.89410928,17.13651208,0.0,17136512083572.78,500,50,1
24,0.09199153,0.14595281,0.87736815,19.04487112,0.0,19044871115850.652,500,50,1
26,0.16010608,0.19080644,0.86847661,21.50343758,0.0,21503437577755.098,500,50,1
28,0.08378707,0.19133402,0.88585304,19.92725447,0.0,19927254474102.137,500,50,1
30,0.08585039,0.21372931,0.85880926,24.56718844,0.0,24567188444799.63,500,50,1
35,0.12097954,0.19615312,0.8684814,18.66118541,0.0,18661185413628.977,500,50,1
40,0.11330247,0.21254574,0.85180685,21.50252625,0.0,21502526254239.633,500,50,1
45,0.1308026,0.16096761,0.87562124,21.31507344,0.0,21315073436105.4,500,50,1
50,0.10295918,0.13927197,0.8942205,19.32253047,0.0,19322530469675.08,500,50,1
60,0.08338848,0.19980733,0.86105219,21.34368154,0.0,21343681535058.79,500,50,1
70,0.13438888,0.12746198,0.88099013,22.93276393,0.0,22932763932572.21,500,50,1
80,0.12013428,0.14497018,0.89314423,23.70308123,0.0,23703081229941.227,500,50,1
90,0.05987207,0.18118128,0.85576404,25.28374277,0.0,25283742767661.477,500,50,1
100,0.06090258,0.14539822,0.87723424,30.18760231,0.0,30187602310903.41,500,50,1
110,0.12063527,0.12330213,0.90230637,28.14648877,0.0,28146488770951.21,500,50,1
120,0.06237591,0.10893649,0.9158727,32.84118991,0.0,32841189906595.133,500,50,1
130,0.03519568,0.07805584,0.9333374,32.04879607,0.0,32048796069533.348,500,50,1
140,0.05410135,0.068285,0.94340694,33.78382868,0.0,33783828678860.61,500,50,1
150,0.03415063,0.04479021,0.95861111,36.50996389,0.0,36509963888958.97,500,50,1
160,0.02756655,0.02619739,0.97453981,37.8776689,0.0,37877668898818.22,500,50,1
170,0.01822826,0.01194234,0.98711102,37.82564328,0.0,37825643282434.09,500,50,1
180,0.01345945,0.00335177,0.99699252,35.54846454,0.0,35548464541381.74,500,50,1
190,0.00266319,0.00082415,0.99917585,35.03512626,0.0,35035126264323.652,500,50,1
200,0.00082415,-0.0,nan,34.86691811,0.0,34866918106209.86,500,50,1
