epoch_a,epoch_b,n_samples,cka_value
0,0,2040,1.0
0,1,2040,0.170475
0,2,2040,0.134818
0,3,2040,0.180572
0,4,2040,0.206064
0,5,2040,0.119643
0,6,2040,0.133354
0,7,2040,0.06681
0,8,2040,0.075864
0,9,2040,0.087963
0,10,2040,0.100574
0,11,2040,0.111881
0,12,2040,0.084249
0,13,2040,0.073265
0,14,2040,0.082562
0,15,2040,0.093419
0,16,2040,0.093747
0,17,2040,0.079918
0,18,2040,0.129876
0,19,2040,0.097227
0,20,2040,0.085478
0,22,2040,0.077411
0,24,2040,0.093924
0,26,2040,0.080455
0,28,2040,0.082499
0,30,2040,0.079881
0,35,2040,0.064464
0,40,2040,0.094448
0,45,2040,0.066159
0,50,2040,0.100035
0,60,2040,0.075486
0,70,2040,0.058867
0,80,2040,0.101124
0,90,2040,0.098275
0,100,2040,0.071198
0,110,2040,0.075953
0,120,2040,0.069956
0,130,2040,0.112058
0,140,2040,0.072906
0,150,2040,0.087347
0,160,2040,0.076974
0,170,2040,0.076781
0,180,2040,0.067661
0,190,2040,0.069497
0,200,2040,0.068451
1,1,2040,1.0
1,2,2040,0.720614
1,3,2040,0.672703
1,4,2040,0.544231
1,5,2040,0.499951
1,6,2040,0.481557
1,7,2040,0.414429
1,8,2040,0.412818
1,9,2040,0.437806
1,10,2040,0.472363
1,11,2040,0.499606
1,12,2040,0.435918
1,13,2040,0.382433
1,14,2040,0.358109
1,15,2040,0.453522
1,16,2040,0.433594
1,17,2040,0.397506
1,18,2040,0.511693
1,19,2040,0.430026
1,20,2040,0.392641
1,22,2040,0.444761
1,24,2040,0.458668
1,26,2040,0.444084
1,28,2040,0.408639
1,30,2040,0.440072
1,35,2040,0.380319
1,40,2040,0.429898
1,45,2040,0.420232
1,50,2040,0.474405
1,60,2040,0.441077
1,70,2040,0.373206
1,80,2040,0.415137
1,90,2040,0.440665
1,100,2040,0.402867
1,110,2040,0.381147
1,120,2040,0.366031
1,130,2040,0.438194
1,140,2040,0.35569
1,150,2040,0.400689
1,160,2040,0.337271
1,170,2040,0.329556
1,180,2040,0.307676
1,190,2040,0.31401
1,200,2040,0.315626
2,2,2040,1.0
2,3,2040,0.799012
2,4,2040,0.581422
2,5,2040,0.581172
2,6,2040,0.563081
2,7,2040,0.512414
2,8,2040,0.503178
2,9,2040,0.533288
2,10,2040,0.519554
2,11,2040,0.561754
2,12,2040,0.484992
2,13,2040,0.450336
2,14,2040,0.392727
2,15,2040,0.491551
2,16,2040,0.493463
2,17,2040,0.455864
2,18,2040,0.545125
2,19,2040,0.489182
2,20,2040,0.461011
2,22,2040,0.540395
2,24,2040,0.537458
2,26,2040,0.524923
2,28,2040,0.469131
2,30,2040,0.498177
2,35,2040,0.461912
2,40,2040,0.505931
2,45,2040,0.527926
2,50,2040,0.525741
2,60,2040,0.500582
2,70,2040,0.416415
2,80,2040,0.473905
2,90,2040,0.507536
2,100,2040,0.47579
2,110,2040,0.455265
2,120,2040,0.446793
2,130,2040,0.50427
2,140,2040,0.435257
2,150,2040,0.465347
2,160,2040,0.406143
2,170,2040,0.396912
2,180,2040,0.36456
2,190,2040,0.371794
2,200,2040,0.374405
3,3,2040,1.0
3,4,2040,0.633595
3,5,2040,0.580861
3,6,2040,0.628841
3,7,2040,0.548381
3,8,2040,0.511533
3,9,2040,0.546564
3,10,2040,0.543572
3,11,2040,0.577309
3,12,2040,0.498149
3,13,2040,0.431962
3,14,2040,0.423255
3,15,2040,0.48935
3,16,2040,0.521414
3,17,2040,0.452952
3,18,2040,0.562198
3,19,2040,0.505474
3,20,2040,0.459926
3,22,2040,0.554421
3,24,2040,0.533257
3,26,2040,0.567895
3,28,2040,0.50629
3,30,2040,0.493015
3,35,2040,0.486108
3,40,2040,0.572414
3,45,2040,0.561079
3,50,2040,0.547347
3,60,2040,0.510448
