run,lr,seed,epoch,basis,test_acc,test_nll,test_margin,k
final_lr005_seed1,0.05,1,0,self,0.1450980392156863,2.244789653241337,-0.27058535601457445,1
final_lr005_seed1,0.05,1,0,self,0.16176470588235295,2.2075868137580787,-0.39159755491889703,2
final_lr005_seed1,0.05,1,0,self,0.25392156862745097,2.0117235083906975,-0.4429467155944969,4
final_lr005_seed1,0.05,1,0,self,0.296078431372549,1.9383087962670333,-0.45814837419184873,8
final_lr005_seed1,0.05,1,0,self,0.32745098039215687,1.8640432758637857,-0.4630129237860645,16
final_lr005_seed1,0.05,1,0,self,0.3573529411764706,1.7842795738842319,-0.44425095837901135,32
final_lr005_seed1,0.05,1,0,self,0.36617647058823527,1.7649482934507967,-0.43444629815120556,39
final_lr005_seed1,0.05,1,0,self,0.36764705882352944,1.7402678760723844,-0.4169197685785843,52
final_lr005_seed1,0.05,1,0,self,0.38088235294117645,1.7276344516730808,-0.41240572325494546,64
final_lr005_seed1,0.05,1,0,self,0.38872549019607844,1.6808631541656471,-0.4004967250061821,128
final_lr005_seed1,0.05,1,0,self,0.40147058823529413,1.685789921332486,-0.43618740565506064,256
final_lr005_seed1,0.05,1,0,self,0.3799019607843137,1.8614327280438234,-0.6386950857087276,512
final_lr005_seed1,0.05,1,0,final,0.14166666666666666,2.2393358123904195,-0.2641105219516198,1
final_lr005_seed1,0.05,1,0,final,0.16519607843137254,2.2293178820261654,-0.3136706806291675,2
final_lr005_seed1,0.05,1,0,final,0.19117647058823528,2.1909981932217257,-0.42093608121421844,4
final_lr005_seed1,0.05,1,0,final,0.22549019607843138,2.0837113601159887,-0.45960110083588335,8
final_lr005_seed1,0.05,1,0,final,0.2769607843137255,2.012737527022091,-0.4811755690904188,16
final_lr005_seed1,0.05,1,0,final,0.2995098039215686,1.9214876577682836,-0.49790461503199995,32
final_lr005_seed1,0.05,1,0,final,0.3107843137254902,1.892107302808806,-0.4901463173556439,39
final_lr005_seed1,0.05,1,0,final,0.32401960784313727,1.8632262642731776,-0.48701523489767135,52
final_lr005_seed1,0.05,1,0,final,0.3338235294117647,1.842948838192383,-0.4816920547662331,64
final_lr005_seed1,0.05,1,0,final,0.3602941176470588,1.7783642164200402,-0.4886229122718216,128
final_lr005_seed1,0.05,1,0,final,0.3892156862745098,1.7232674909963484,-0.4598468139185035,256
final_lr005_seed1,0.05,1,0,final,0.38333333333333336,1.7920167360242845,-0.560541811376854,512
final_lr005_seed1,0.05,1,2,self,0.2818627450980392,1.7496447358055827,-0.3030179514738499,1
final_lr005_seed1,0.05,1,2,self,0.4602941176470588,1.3827662561866079,-0.06399544263911273,2
final_lr005_seed1,0.05,1,2,self,0.582843137254902,1.0861664492012544,0.35061427422982266,4
