epoch,nc1_papyan,log10_nc1_papyan,nc2_etf_deviation,nc3_self_duality_frobenius,nc4_ncc_disagreement,nc1,log10_nc1,nc3_weight_mean_alignment,nc4_ncm_disagreement
0,51.15529063,1.708891,1.84561462,1.40685508,0.79182,51.15529063,1.708891,1.40685508,0.79182
1,104.7290367,2.020067,2.30259292,1.05135218,0.45492,104.7290367,2.020067,1.05135218,0.45492
2,10.17255799,1.00743,1.39222914,0.8066395,0.29942,10.17255799,1.00743,0.8066395,0.29942
3,6.30124682,0.799426,1.40468824,0.67315822,0.28558,6.30124682,0.799426,0.67315822,0.28558
4,2.98291894,0.474641,1.20672721,0.60752177,0.35968,2.98291894,0.474641,0.60752177,0.35968
5,1.8062142,0.256769,1.2107664,0.5984162,0.20998,1.8062142,0.256769,0.5984162,0.20998
6,1.26033648,0.100487,1.16416519,0.59026611,0.28632,1.26033648,0.100487,0.59026611,0.28632
7,0.93913516,-0.027272,0.88624505,0.55107429,0.16774,0.93913516,-0.027272,0.55107429,0.16774
8,0.9053048,-0.043205,0.93748934,0.53036214,0.15042,0.9053048,-0.043205,0.53036214,0.15042
9,0.87787585,-0.056567,0.93071885,0.51533982,0.15204,0.87787585,-0.056567,0.51533982,0.15204
10,0.84333278,-0.074001,0.83982378,0.5113427,0.10816,0.84333278,-0.074001,0.5113427,0.10816
11,0.80935242,-0.091862,0.8654712,0.56143088,0.19954,0.80935242,-0.091862,0.56143088,0.19954
12,0.79208718,-0.101227,0.85356388,0.49174693,0.13648,0.79208718,-0.101227,0.49174693,0.13648
13,0.83279439,-0.079462,0.93773464,0.51189599,0.19114,0.83279439,-0.079462,0.51189599,0.19114
14,0.78985749,-0.102451,0.78491358,0.52862439,0.2003,0.78985749,-0.102451,0.52862439,0.2003
15,0.69461723,-0.158254,0.94329922,0.54778063,0.16146,0.69461723,-0.158254,0.54778063,0.16146
16,0.73242281,-0.135238,1.00795113,0.52523267,0.148,0.73242281,-0.135238,0.52523267,0.148
17,0.67295088,-0.172017,0.89531593,0.45950364,0.13478,0.67295088,-0.172017,0.45950364,0.13478
18,0.73610584,-0.13306,0.97284088,0.56489999,0.2772,0.73610584,-0.13306,0.56489999,0.2772
19,0.70875831,-0.149502,0.78586012,0.51026481,0.1738,0.70875831,-0.149502,0.51026481,0.1738
20,0.7383619,-0.131731,0.82349366,0.49749659,0.14616,0.7383619,-0.131731,0.49749659,0.14616
22,0.69993702,-0.154941,0.68107363,0.46853553,0.14808,0.69993702,-0.154941,0.46853553,0.14808
24,0.67420635,-0.171207,0.88298528,0.46495211,0.13932,0.67420635,-0.171207,0.46495211,0.13932
26,0.74567949,-0.127448,0.76859472,0.485364,0.13976,0.74567949,-0.127448,0.485364,0.13976
28,0.68630187,-0.163485,0.7304387,0.42083378,0.15278,0.68630187,-0.163485,0.42083378,0.15278
30,0.727155,-0.138373,0.72623059,0.50394896,0.15746,0.727155,-0.138373,0.50394896,0.15746
35,0.64316513,-0.191678,0.94341414,0.50524433,0.1637,0.64316513,-0.191678,0.50524433,0.1637
40,0.62559176,-0.203709,0.79806278,0.47401709,0.153,0.62559176,-0.203709,0.47401709,0.153
45,0.6242696,-0.204628,0.75686252,0.47469736,0.17094,0.6242696,-0.204628,0.47469736,0.17094
50,0.7075665,-0.150233,0.72063832,0.4774285,0.15616,0.7075665,-0.150233,0.4774285,0.15616
60,0.54082704,-0.266942,0.89603446,0.4599328,0.09892,0.54082704,-0.266942,0.4599328,0.09892
70,0.56477779,-0.248122,0.75000054,0.41072603,0.1444,0.56477779,-0.248122,0.41072603,0.1444
80,0.49582019,-0.304676,0.78697456,0.44190537,0.1431,0.49582019,-0.304676,0.44190537,0.1431
90,0.5915636,-0.227999,0.74788554,0.43282126,0.18202,0.5915636,-0.227999,0.43282126,0.18202
100,0.45790181,-0.339228,0.68218149,0.36346899,0.07848,0.45790181,-0.339228,0.36346899,0.07848
110,0.39449563,-0.403958,0.69573259,0.33894555,0.08464,0.39449563,-0.403958,0.33894555,0.08464
120,0.3905882,-0.408281,0.60331349,0.30474447,0.08742,0.3905882,-0.408281,0.30474447,0.08742
130,0.33838751,-0.470586,0.65263238,0.27243766,0.02686,0.33838751,-0.470586,0.27243766,0.02686
140,0.26684906,-0.573734,0.42600313,0.25236036,0.0289,0.26684906,-0.573734,0.25236036,0.0289
150,0.2173335,-0.662873,0.41848039,0.2274316,0.01716,0.2173335,-0.662873,0.2274316,0.01716
160,0.18486842,-0.733137,0.35067556,0.21832827,0.01726,0.18486842,-0.733137,0.21832827,0.01726
170,0.12107321,-0.916952,0.26987226,0.19052845,0.00354,0.12107321,-0.916952,0.19052845,0.00354
180,0.06000745,-1.221795,0.21313811,0.18640742,6e-05,0.06000745,-1.221795,0.18640742,6e-05
190,0.04179975,-1.378826,0.21679011,0.18811693,0.0,0.04179975,-1.378826,0.18811693,0.0
200,0.03938219,-1.4047,0.21801908,0.1873327,0.0,0.03938219,-1.4047,0.1873327,0.0
