run,lr,seed,epoch,k,sv_mass,energy_mass,pa_mean_cos,pa_min_cos,pa_grassmann,cka_main_tofinal,cka_resid_tofinal
final_lr020_seed1,0.2,1,0,1,0.1370396713090572,0.8200913838562295,0.08671979475740547,0.08671979475740547,1.4839674690729465,0.07169424249234244,0.0608848308824798
final_lr020_seed1,0.2,1,0,2,0.17002428155537702,0.8676021841495136,0.06375223607411828,0.01668353151275159,2.132164701384299,0.07099384175773367,0.051833441993069156
final_lr020_seed1,0.2,1,0,4,0.2064891658050336,0.8966770238534392,0.07743837227125766,0.012275550537055759,2.9891727644946404,0.06801652363666222,0.033707513127735615
final_lr020_seed1,0.2,1,0,8,0.25135197274023746,0.9188081604569385,0.10148218732349165,0.005300184853370818,4.159505352069561,0.06560912541886005,0.01065538836501423
final_lr020_seed1,0.2,1,0,16,0.30735161479735873,0.9361537830337927,0.1787851994915908,0.01163045975634958,5.589432278356264,0.06414113614840367,0.0376747975664776
final_lr020_seed1,0.2,1,0,32,0.3845414755695357,0.9526460292282937,0.22090454420919853,0.007961993109276751,7.6611477479504115,0.06429200582386485,0.054054922146802215
final_lr020_seed1,0.2,1,0,39,0.4113493661461451,0.95713280968104,0.236405516528594,0.008518888311146335,8.361220473600314,0.06432275015426854,0.06296641389791485
final_lr020_seed1,0.2,1,0,52,0.4547922658284233,0.9634880904164952,0.26630248625315595,0.007512527418102284,9.439841121843237,0.06435064382604627,0.07427491384878741
final_lr020_seed1,0.2,1,0,64,0.48998033741673447,0.9679985442474343,0.29278699988162094,0.0013166189868702282,10.262099181492703,0.06438422346291676,0.08488077728170045
final_lr020_seed1,0.2,1,0,128,0.6320014901580854,0.9819538966266494,0.4178333184807421,0.000948649982173826,13.0784959095419,0.06443913140422677,0.10035800983980564
final_lr020_seed1,0.2,1,0,256,0.8132593698547775,0.9933850980287019,0.6139294822241658,0.0031568845904715553,15.029852860992671,0.06446794316767535,0.08654374266834505
final_lr020_seed1,0.2,1,0,512,0.9999999999999997,1.0000000000000009,1.0,1.0,3.142717080311844e-14,0.0644835957769597,0.9999462944344877
final_lr020_seed1,0.2,1,1,1,0.1963864109190121,0.5773691526890117,0.3993570953656057,0.3993570953656057,1.15998083990721,0.4192280373669572,0.11022577722250955
final_lr020_seed1,0.2,1,1,2,0.293015812194571,0.7171505211073753,0.39032151019224537,0.3118441583194317,1.6565836241828806,0.3860830306715453,0.062522775836531
final_lr020_seed1,0.2,1,1,4,0.43787981214475863,0.8780611928681489,0.26074769201747583,0.05440649080274559,2.631101036133317,0.33534922901300235,0.036661387764929
final_lr020_seed1,0.2,1,1,8,0.5792914061643458,0.9551028111621135,0.24305782341939994,0.005698105672895913,3.7707757148080105,0.30781806104955517,0.009004176437811227
final_lr020_seed1,0.2,1,1,16,0.702928251922079,0.9864177829621662,0.29485436875723947,0.014065374466917108,5.13523627217547,0.29989853966882063,0.020503278141265187
final_lr020_seed1,0.2,1,1,32,0.7988853855602771,0.995614180782358,0.33223653862279245,0.006271028134476229,7.0515310725399125,0.3000169806027712,0.032568530414343794
final_lr020_seed1,0.2,1,1,39,0.8231305351677691,0.9968770011377905,0.3444862903920523,0.009989633007861693,7.706615595706896,0.3000271586158921,0.03856064565015972
final_lr020_seed1,0.2,1,1,52,0.8555900006156614,0.9981036110880402,0.36000541711241013,0.005000513092700983,8.792816167514086,0.30003990038050604,0.04352651545346208
final_lr020_seed1,0.2,1,1,64,0.8776965905818823,0.9987164190319964,0.3801673192694003,0.0007172689337103294,9.587210963110122,0.3000573148663696,0.04933783792241985
final_lr020_seed1,0.2,1,1,128,0.9410091612826444,0.9997459554585374,0.4877841818315753,0.0037989601015802708,12.274841916201828,0.3000763347314329,0.06800526865990635
final_lr020_seed1,0.2,1,1,256,0.9825470119015125,0.999973841750039,0.6504817595769035,0.00030119236264358046,14.35292553333861,0.300079211693059,0.06614950952836528
final_lr020_seed1,0.2,1,1,512,1.000000000000001,1.0,1.0,1.0,3.1636607415672006e-14,0.3000799448987558,0.9998102466445212
final_lr020_seed1,0.2,1,2,1,0.09553131216717213,0.2891600703253745,0.3577050223837582,0.3577050223837582,1.204987178294565,0.35214896625098596,0.20720054327741147
final_lr020_seed1,0.2,1,2,2,0.18453559536641842,0.5401571389979613,0.3559949376267637,0.2149830851122319,1.7139171831304596,0.401955942584138,0.13277756120633133
final_lr020_seed1,0.2,1,2,4,0.3043983007021296,0.7738433957616957,0.34191274870018323,0.18003712827923213,2.4531715080956396,0.39839901122456606,0.1212108235437291
final_lr020_seed1,0.2,1,2,8,0.42531845239578175,0.8953823046555968,0.30507688768062446,0.001640945860308188,3.5915888901087025,0.3897059985639684,0.012712723839949858
final_lr020_seed1,0.2,1,2,16,0.5458044075582946,0.9553628981111325,0.3432203945598229,0.010176873024947877,4.929888248508592,0.3842866782614856,0.029708694650446007
