epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
0,logistic_regression,0.47802,0.4418,50000,10000,7.237,ok,
0,linear_svm,0.5408,0.3873,10000,10000,15.069,ok,
0,rbf_svm,0.5959,0.421,10000,10000,6.904,ok,
0,random_forest,1.0,0.3947,50000,10000,2.049,ok,
1,logistic_regression,0.47172,0.4492,50000,10000,8.822,ok,
1,linear_svm,0.5255,0.4091,10000,10000,69.825,ok,
1,rbf_svm,0.5159,0.4117,10000,10000,5.928,ok,
1,random_forest,1.0,0.4391,50000,10000,1.282,ok,
2,logistic_regression,0.60116,0.5621,50000,10000,7.63,ok,
2,linear_svm,0.645,0.5224,10000,10000,18.868,ok,
2,rbf_svm,0.6232,0.5365,10000,10000,4.455,ok,
2,random_forest,1.0,0.5409,50000,10000,1.657,ok,
3,logistic_regression,0.67928,0.6396,50000,10000,5.8,ok,
3,linear_svm,0.7281,0.6024,10000,10000,13.257,ok,
3,rbf_svm,0.7024,0.6162,10000,10000,3.675,ok,
3,random_forest,1.0,0.6098,50000,10000,2.1,ok,
4,logistic_regression,0.74774,0.7112,50000,10000,5.533,ok,
4,linear_svm,0.7952,0.6667,10000,10000,10.683,ok,
4,rbf_svm,0.7683,0.6865,10000,10000,2.959,ok,
4,random_forest,1.0,0.6808,50000,10000,2.229,ok,
5,logistic_regression,0.79176,0.7473,50000,10000,3.609,ok,
5,linear_svm,0.8403,0.7109,10000,10000,9.351,ok,
5,rbf_svm,0.8014,0.7343,10000,10000,2.467,ok,
5,random_forest,1.0,0.7313,50000,10000,2.493,ok,
6,logistic_regression,0.82698,0.7864,50000,10000,4.867,ok,
6,linear_svm,0.8727,0.7434,10000,10000,8.4,ok,
6,rbf_svm,0.8217,0.7665,10000,10000,2.112,ok,
6,random_forest,1.0,0.7604,50000,10000,2.592,ok,
7,logistic_regression,0.84784,0.8086,50000,10000,3.809,ok,
7,linear_svm,0.8927,0.7717,10000,10000,7.676,ok,
7,rbf_svm,0.8351,0.793,10000,10000,1.898,ok,
7,random_forest,1.0,0.7884,50000,10000,2.659,ok,
8,logistic_regression,0.85914,0.8165,50000,10000,4.688,ok,
8,linear_svm,0.9078,0.7821,10000,10000,7.143,ok,
8,rbf_svm,0.8435,0.8027,10000,10000,1.827,ok,
8,random_forest,1.0,0.8003,50000,10000,2.548,ok,
9,logistic_regression,0.86432,0.8239,50000,10000,5.083,ok,
9,linear_svm,0.9159,0.7896,10000,10000,6.795,ok,
9,rbf_svm,0.8532,0.8125,10000,10000,1.704,ok,
9,random_forest,1.0,0.8071,50000,10000,2.718,ok,
10,logistic_regression,0.86686,0.8232,50000,10000,3.677,ok,
10,linear_svm,0.9172,0.7839,10000,10000,6.76,ok,
10,rbf_svm,0.8521,0.8042,10000,10000,1.743,ok,
10,random_forest,1.0,0.8011,50000,10000,2.907,ok,
11,logistic_regression,0.87338,0.8343,50000,10000,3.691,ok,
11,linear_svm,0.9224,0.7919,10000,10000,6.805,ok,
11,rbf_svm,0.8555,0.8151,10000,10000,1.704,ok,
11,random_forest,1.0,0.8132,50000,10000,2.565,ok,
12,logistic_regression,0.88224,0.8411,50000,10000,5.145,ok,
12,linear_svm,0.9321,0.8053,10000,10000,6.398,ok,
12,rbf_svm,0.8695,0.8216,10000,10000,1.508,ok,
