epoch_prev,epoch_curr,drs_value,drs_change,below_tau,consecutive_count,is_t_star_trigger
5,10,0.710288,0.289712,0,0,0
15,20,0.81779,0.18221,0,0,0
25,30,0.838354,0.161646,0,0,0
35,40,0.826771,0.173229,0,0,0
45,50,0.752842,0.247158,0,0,0
55,60,0.822433,0.177567,0,0,0
65,70,0.827583,0.172417,0,0,0
75,80,0.845786,0.154214,0,0,0
85,90,0.838135,0.161865,0,0,0
95,100,0.828755,0.171245,0,0,0
105,110,0.80045,0.19955,0,0,0
115,120,0.810614,0.189386,0,0,0
125,130,0.745949,0.254051,0,0,0
135,140,0.859143,0.140857,0,0,0
145,150,0.828492,0.171508,0,0,0
155,160,0.871107,0.128893,0,0,0
165,170,0.84649,0.15351,0,0,0
175,180,0.868053,0.131947,0,0,0
185,190,0.882442,0.117558,0,0,0
195,200,0.809917,0.190083,0,0,0
205,210,0.818274,0.181726,0,0,0
215,220,0.851138,0.148862,0,0,0
225,230,0.859153,0.140847,0,0,0
235,240,0.865161,0.134839,0,0,0
245,250,0.887232,0.112768,0,0,0
255,260,0.886662,0.113338,0,0,0
265,270,0.90699,0.09301,0,0,0
275,280,0.907626,0.092374,0,0,0
285,290,0.912036,0.087964,0,0,0
295,300,0.899067,0.100933,0,0,0
