epoch_prev,epoch_curr,n_samples,cka_value,cka_change,below_tau
5,10,2040,0.801725,0.198275,0
10,15,2040,0.805122,0.194878,0
15,20,2040,0.838276,0.161724,0
20,25,2040,0.785768,0.214232,0
25,30,2040,0.713114,0.286886,0
30,35,2040,0.76625,0.23375,0
35,40,2040,0.803028,0.196972,0
40,45,2040,0.802094,0.197906,0
45,50,2040,0.82998,0.17002,0
50,55,2040,0.823961,0.176039,0
55,60,2040,0.748801,0.251199,0
60,65,2040,0.78697,0.21303,0
65,70,2040,0.824821,0.175179,0
70,75,2040,0.831289,0.168711,0
75,80,2040,0.8027,0.1973,0
80,85,2040,0.805808,0.194192,0
85,90,2040,0.846823,0.153177,0
90,95,2040,0.752372,0.247628,0
95,100,2040,0.767392,0.232608,0
100,105,2040,0.743793,0.256207,0
105,110,2040,0.784979,0.215021,0
110,115,2040,0.829521,0.170479,0
115,120,2040,0.822643,0.177357,0
120,125,2040,0.811538,0.188462,0
125,130,2040,0.801452,0.198548,0
130,135,2040,0.815131,0.184869,0
135,140,2040,0.851423,0.148577,0
140,145,2040,0.839263,0.160737,0
145,150,2040,0.813021,0.186979,0
150,155,2040,0.835041,0.164959,0
155,160,2040,0.826648,0.173352,0
160,165,2040,0.82797,0.17203,0
165,170,2040,0.840929,0.159071,0
170,175,2040,0.850559,0.149441,0
175,180,2040,0.870381,0.129619,0
180,185,2040,0.838258,0.161742,0
185,190,2040,0.847861,0.152139,0
190,195,2040,0.871588,0.128412,0
195,200,2040,0.857512,0.142488,0
200,205,2040,0.839728,0.160272,0
205,210,2040,0.82665,0.17335,0
210,215,2040,0.869511,0.130489,0
215,220,2040,0.873883,0.126117,0
220,225,2040,0.871848,0.128152,0
225,230,2040,0.8944,0.1056,0
230,235,2040,0.910187,0.089813,0
235,240,2040,0.906918,0.093082,0
240,245,2040,0.912438,0.087562,0
245,250,2040,0.945777,0.054223,0
250,255,2040,0.962361,0.037639,0
255,260,2040,0.974958,0.025042,0
260,265,2040,0.991526,0.008474,1
265,270,2040,0.995888,0.004112,1
270,275,2040,0.997439,0.002561,1
275,280,2040,0.998329,0.001671,1
280,285,2040,0.999519,0.000481,1
285,290,2040,0.999369,0.000631,1
290,295,2040,0.999445,0.000555,1
295,300,2040,0.999391,0.000609,1
